"url","page_type","source","search_intent","in_sitemap","indexable","live_status_checked","issue","recommended_action"
"/turnkey-construction-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/renovation-contractors-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/construction-company-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","overlaps builders-in-chennai + construction-in-chennai","IMPROVE"
"/construction-project-management-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/builders-in-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/construction-cost-estimation-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/contractor-quote-review-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/quality-inspection-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/site-supervision-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","duplicate SERVICES entry (FIXED P0: removed)","IMPROVE"
"/structural-audit-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","thin body (H1+FAQ only in SSR text); Certified claim unverified","IMPROVE"
"/building-structural-audit-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","nav labels it Residential audit while residential-structural-audit-chennai also exists","IMPROVE"
"/commercial-structural-audit-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/old-building-structural-audit-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/residential-structural-audit-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/building-crack-inspection-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/construction-layout-marking-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/land-survey-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/drone-survey-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/dgps-survey-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/topographic-survey-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/total-station-survey-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/contour-survey-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/pile-point-marking-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/pile-foundation-contractors-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/pile-load-test-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/pile-integrity-test-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/dynamic-pile-load-test-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/plate-load-test-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/bored-cast-in-situ-piles-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/dmc-piling-contractors-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/micro-piling-contractors-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/ndt-testing-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/soil-testing-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/soil-investigation-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","overlaps soil-testing-chennai — same intent","IMPROVE"
"/rebound-hammer-test-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/upv-test-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/core-test-concrete-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/rebar-scanning-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/why-vs-aggregators","service","[serviceSlug] dynamic","comparison","yes","yes","","very thin (646 chars data)","IMPROVE"
"/why-vs-mason","service","[serviceSlug] dynamic","comparison","yes","yes","","very thin (754 chars data)","IMPROVE"
"/steel-fabrication-contractors-chennai","service","serviceHubs.js (no renderer)","local-commercial","yes","301 → /steel-construction-chennai; removed from sitemap (FIXED P0)","404 confirmed","sitemap lists 404 URL","CREATE or REMOVE from sitemap (P0)"
"/warehouse-steel-building-chennai","service","serviceHubs.js (no renderer)","local-commercial","yes","301 → /industrial-shed-construction-chennai; removed from sitemap (FIXED P0)","404 confirmed","sitemap lists 404 URL","CREATE or REMOVE from sitemap (P0)"
"/factory-shed-construction-chennai","service","serviceHubs.js (no renderer)","local-commercial","yes","301 → /industrial-shed-construction-chennai; removed from sitemap (FIXED P0)","404 confirmed","sitemap lists 404 URL","CREATE or REMOVE from sitemap (P0)"
"/villa-construction","service","Navbar link only","commercial","no","301 → /build/villa-construction (FIXED P0)","404 confirmed","broken nav link; content exists at /services/villa-construction and /build/villa-construction","REDIRECT (P0)"
"/apartment-structural-audit-chennai","service","Navbar link only","local-commercial","no","301 → /structural-audit-chennai (FIXED P0)","404 confirmed","broken nav link sitewide","CREATE or fix link (P0)"
"/material-quotes","conversion","Navbar link only","transactional","no","301 → /materials/request-quote (FIXED P0)","404 confirmed","broken nav link; real route /materials/request-quote","REDIRECT (P0)"
"/materials/ready-mix-concrete","material","Navbar link only","commercial","no","301 → /materials/rmc (FIXED P0)","404 confirmed","broken nav link; real route /materials/rmc","REDIRECT (P0)"
"/services/house-construction","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/villa-construction","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/residential-construction","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/duplex-house-construction","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/construction-project-management","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/quality-inspection","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/site-supervision","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/construction-consultation","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/renovation-construction","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/home-construction-for-rental-income","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/home-construction-for-resale-value","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/turnkey-construction","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/boq-review","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/house-plan-review","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/services/construction-cost-consultation","service","services/[slug] (seo data)","commercial","yes","yes (P0: async-params 404 bug fixed — now renders)","","CANNIBALISES -chennai service pages with same topics","MERGE/REDIRECT into -chennai pages"
"/materials/cement","material","physical","commercial","yes","yes","","","KEEP"
"/materials/tmt-steel","material","physical","commercial","yes","yes","","","KEEP"
"/materials/msand-psand","material","physical","commercial","yes","yes","","","KEEP"
"/materials/bricks-aac-blocks","material","physical","commercial","yes","yes","","","KEEP"
"/materials/rmc","material","physical","commercial","yes","yes","","nav links non-existent ready-mix-concrete instead","KEEP"
"/materials/waterproofing","material","physical","commercial","yes","yes","","","KEEP"
"/materials/electrical","material","physical","commercial","yes","yes","","","KEEP"
"/materials/plumbing","material","physical","commercial","yes","yes","","","KEEP"
"/materials/fabrication-steel","material","physical","commercial","yes","yes","","","KEEP"
"/materials/piling-foundation-materials","material","physical","commercial","no","yes","","","KEEP"
"/materials/finishing-materials","material","physical","commercial","no","yes","","","KEEP"
"/materials/network","material","physical","commercial","no","yes","","","KEEP"
"/materials/request-quote","material","physical","commercial","no","yes","","","KEEP"
"/materials/bricks","material","physical","commercial","no","yes","","overlaps bricks-aac-blocks","KEEP"
"/materials/sand","material","physical","commercial","no","yes","","overlaps msand-psand","KEEP"
"/materials/steel","material","physical","commercial","no","yes","","overlaps tmt-steel + fabrication-steel","KEEP"
"/materials/tiles","material","physical","commercial","no","yes","","","KEEP"
"/materials/electrical-plumbing","material","physical","commercial","no","yes","","overlaps electrical + plumbing","KEEP"
"/guides/[slug] x22","guide","data/seo/guides.js","informational","yes","yes","","several dated 2025 refs — freshness audit needed","IMPROVE"
"/glossary/[term] x26","glossary","data/seo/glossary.js","informational","yes","yes","","","KEEP"
"/faqs/[category] x10","faq","data/seo/faqs.js","informational","yes","yes","","","KEEP"
"/compare/[slug] x5","comparison","data/seo/comparisons.js","informational","yes","yes","","","KEEP"
"/locations/chennai/[area] x28","local","data/seo/areas.js + content-length sanity check (not an indexing qualification; P1 evaluation pending)","local-commercial","length-checked","length-checked (noindex below threshold) — content-quality/indexability approval PENDING P1","","soil/flood/cost claims per area need evidence review","IMPROVE"
"/locations/chennai/[area]/[service] x up to 616","local-service","areas x localServices programmatic","local-commercial","length-checked","length-checked (noindex below threshold) — content-quality/indexability approval PENDING P1","","LARGE programmatic surface — verify actual indexable count + uniqueness","NEEDS BUSINESS VERIFICATION"
"/partners/[slug] + category pages","directory","physical + DB","commercial","partial","yes","","Verified claims require documented verification process","NEEDS BUSINESS VERIFICATION"
"/ai-* tool pages x10","tool","physical","commercial","yes","yes","","","KEEP"
"/blog/[slug]","article","DB (blog_posts)","informational","dynamic","yes","","","KEEP"
"/case-studies/[slug]","evidence","DB","informational","dynamic","yes","","","IMPROVE"
