id,location,exact_claim,claim_type,risk,why_verification_needed,evidence_required,safer_temporary_wording,block_publication,p0_status,register_section
CL11,src/data/seo/areas.js (28 areas),"Per-area soil type, flood risk, cost range ₹/sqft",technical/safety claim,HIGH,Soil and flood statements affect safety decisions; published per locality,"Cited sources (GCC/CMDA flood maps, soil reports) or qualified wording",Already partially qualified ('verify site-specifically') — audit each area entry,NO but audit each,"REMEDIATED 2026-07-25 (readiness pass 2): 28 soilType + 28 soilNote + 28 floodRisk fields neutralised; 23 prescriptive sentences removed from constructionTips; locality ₹ rates removed from pages, FAQs, schema priceRange.",2. Mandatory before preview deployment
CL12,src/lib/whatsapp.js line 56,portal link https://app.buildogram.com/...,wrong domain,HIGH,Wrong TLD (.com) in customer WhatsApp messages — functional break,n/a — code fix,Fix to buildogram.in domain,FIX P0,FIXED to www.buildogram.in/client/dashboard 2026-07-25,1. Removed or softened — restorable with evidence
CL13,src/lib/analytics/trackingUrlBuilder.js line 8,fallback https://buildogram.com,wrong domain,MEDIUM,Tracking URLs may point to wrong domain when env missing,n/a — code fix,Fix fallback to https://www.buildogram.in,FIX P0,FIXED fallback to www.buildogram.in 2026-07-25,1. Removed or softened — restorable with evidence
CL14,src/app/privacy-policy/page.js + terms/page.js,privacy@buildogram.com / support@buildogram.com,wrong domain,HIGH,Legal contact emails on wrong domain — users cannot exercise privacy rights,Confirm actual mailboxes (hello@buildogram.in exists in footer),Replace with @buildogram.in addresses once confirmed,FIX P0 (needs owner: confirm mailbox),FIXED to hello@buildogram.in 2026-07-25 (owner to confirm mailbox monitoring),1. Removed or softened — restorable with evidence
CL15,drone survey page,Our certified pilots manage Digital Sky portal clearances,credential claim,MEDIUM,DGCA remote pilot certificates are specific credentials,Pilot certificate records or partner-lab agreement,'DGCA-compliant drone operators we coordinate with',NO but verify,REPLACED with regulatory-responsibility wording 2026-07-25 (readiness pass 2),1. Removed or softened — restorable with evidence
CL16,various guides/faqs,2025-dated cost figures and rules references,freshness,MEDIUM,Rates/rules may be stale in 2026,Re-verify against current sources; add Last-reviewed dates,Add 'Last reviewed: <date> / Data period: <period>',NO,UNCHANGED — scheduled for P1 freshness pass,4. Owner confirmation after deployment
CL17,partner seed data (ops/seed-partners),"Demo partners with fabricated names, RERA/ISO/CREDAI claims, unsplash covers",fabricated demo data,HIGH,If demo partners are shown publicly they constitute fake listings and fake credentials,Confirm production DB contains no seeded demo partners on public /partners pages,Purge demo partners from production,YES — verify production data,CODE-GUARDED 2026-07-25 (demo-* blocked from all public surfaces + seed env-gated); prod DB check pending owner,3. Mandatory before production promotion
CL18,live /structural-audit-chennai,free consultation,offer claim,LOW,Must be honoured operationally,Owner confirmation,Keep only if actually free,NO,PENDING owner confirmation (restoration item),4. Owner confirmation after deployment
CL19,src/components/seo/EngineerCredibility.js,12+ Structural Engineers on review team,volume claim,MEDIUM,Specific headcount with no roster,Team roster,Non-numeric tile,REMOVED 2026-07-25,,1. Removed or softened — restorable with evidence
CL20,src/app/about/page.js timeline,First 50 BOQ Reviews / ₹2.5Cr hidden costs avoided (2022),historical claim,MEDIUM,Specific figures with no records,Historical review records,Event kept; numbers removed,REMOVED 2026-07-25,,1. Removed or softened — restorable with evidence
CL21,src/app/ai-structural-audit-intake/page.js,Reports accepted by GCC and CMDA for regularization,legal-acceptance claim,HIGH,Authority-acceptance is a legal claim,Registered-SE credentials + documented acceptance,Conditional wording,SOFTENED 2026-07-25,,1. Removed or softened — restorable with evidence
CL22,"/quality-system, /build, /how-it-works",2500+ BQS checkpoints / 500+ QC checks,framework claim,MEDIUM,Verify checklist DB actually holds this count,bqs_checklist_items row count,Kept (already qualified with up to),PENDING owner confirmation,"NUMBERS REMOVED 2026-07-25 (readiness pass 2) — ""up to 2500+"" was logically invalid; now ""structured/documented inspection checkpoints"". Restore only after DB count verified.",2. Mandatory before preview deployment
CL23,src/components/seo/EngineerCredibility.js,Rates benchmarked against market data updated monthly,process claim,LOW,Monthly cadence unproven,Update log,Cadence removed,SOFTENED 2026-07-25,"REPLACED with ""project inputs and available Chennai market references"" 2026-07-25 (readiness pass 2)",1. Removed or softened — restorable with evidence
CL24,"homepage, partner pages, materials, locality service pages",'screened by our team' / 'Engineer-Screened' / 'vetted builders' / 'engineer-vetted packages' (10 instances),screening claim,MEDIUM,Owner directive: no screening/vetting implication until documented procedure is published,Published partner-screening procedure + evidence of application,Neutral: 'Construction Partner Network' / 'listed in the partner directory',REMOVED 2026-07-25 (deployment-readiness pass; restorable once procedure is published),REMOVED 2026-07-25 (readiness pass 2): all screened/vetted wording replaced with Buildogram Partner Network / Listed Professionals.,1. Removed or softened — restorable with evidence
CL25,src/app/about/page.js (team + Person schema),'qualified structural engineers' — evidence basis: named founders incl. 'Kavin — Co-Founder & Structural Engineering Lead (civil & structural engineer)' and 'Manoj B.E.' on public team page,credential claim,MEDIUM,Wording retained because identifiable engineers exist in repo evidence; formal degrees/registration numbers still unconfirmed,Owner confirms degrees; add registration numbers to Person schema when available,Fallback if unconfirmed: 'structural engineering professionals',RETAINED with evidence basis 2026-07-25 — owner to confirm credentials,"DOWNGRADED 2026-07-25 (readiness pass 2): ""qualified"" removed from all Buildogram-team claims; now ""structural engineering professionals"". Educational/legal advice referencing licensed engineers retained.",4. Owner confirmation after deployment
CL26,src/data/seo/areas.js + localities.js + locality page renderers + localSchema.js,"Per-locality soil type, flood-risk rating, foundation prescriptions (plinth height, pile/raft recommendations) and ₹/sqft cost ranges for 28 Chennai areas",technical/safety claim,HIGH,Construction users may act on locality soil/flood/foundation statements; no cited source existed,"Cited GCC/CMDA flood mapping, geotechnical reports, or dated rate survey",Site-specific due-diligence wording,YES until sourced,"REMEDIATED 2026-07-25: soilType/soilNote/floodRisk replaced with site-specific due-diligence wording across 28 areas + 26 legacy localities; 23 prescriptive sentences stripped from constructionTips; locality cost cards, FAQs and LocalBusiness priceRange removed. All 28 area pages still pass the 150-word quality gate.",2. Mandatory before preview deployment
CL27,src/data/seo/localServices.js + serviceHubs.js + boq-review-chennai,"Undated material/works rates: cement ₹380–430/bag, TMT ₹58,000–72,000/MT, PEB ₹800–1,400/sqft, shed ₹500–1,600/sqft, renovation ₹600–1,200/sqft",price claim,MEDIUM,"Rates displayed without observation date, source or validity period",Dated supplier quotations / rate survey with methodology,Remove figure or state date + assumptions + indicative nature,NO but qualify,"REMEDIATED 2026-07-25: locality-level and BOQ-page figures removed and replaced with quote-based wording; Chennai-wide PEB/shed ranges retained with explicit ""indicative only — not a dated quotation"" qualifier.",2. Mandatory before preview deployment
CL28,src/lib/seo/localSchema.js,"LocalBusiness schema on all locality pages emitted placeholder telephone ""+91-XXXXXXXXXX"", postalCode ""600000"" and a second email (info@buildogram.in)",NAP inconsistency,HIGH,Inconsistent NAP in structured data undermines local-search entity trust and contradicts the footer/Organization schema,n/a — code fix,Align to single published NAP,FIX before deploy,"FIXED 2026-07-25: telephone +919360232456, hello@buildogram.in, full street address, postalCode 600089, areaServed added. Website NAP now consistent across footer, Organization and LocalBusiness schema. GBP match pending owner.",2. Mandatory before preview deployment
CL29,src/lib/seo/localPageGenerator.js,"""Buildogram's verified contractor network … All contractors undergo engineering and reference verification before listing"" (rendered on every locality page FAQ)",verification claim,MEDIUM,Screening/verification claim embedded in a generator template — missed by earlier page-level scans,Published verification procedure,Neutral Partner Network wording,YES until procedure published,REMOVED 2026-07-25 (readiness pass 2),1. Removed or softened — restorable with evidence
CL30,Proof assets,Engineer profiles with qualifications; redacted BOQ comparison; inspection checklist/report sample; client-approved case studies; dated supplier rate methodology; warranty document; published partner verification procedure,evidence gap,n/a,"Required to restore stronger wording across CL01–CL10, CL22, CL24, CL25",Owner-supplied documents,n/a,n/a,OUTSTANDING — collect to unlock restorations,5. Proof assets required for stronger E-E-A-T
