# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# NOTE: administrative_source for every row is unverified general geographic knowledge. Postcodes deliberately left PENDING_VERIFICATION rather than stated from memory. Presence of a locality implies GEOGRAPHIC RESEARCH ONLY — never service availability, partner coverage, project evidence or property inventory.
locality,alternative_names,common_misspellings,tamil_name,tanglish_forms,parent_zone,corporation_municipality_panchayat,district,planning_authority,postcode_range,major_corridor,nearby_areas,administrative_source,source_verification_date,buildogram_service_availability,toletboard_inventory,realprop_inventory,existing_buildogram_page,existing_toletboard_page,existing_realprop_page,existing_property_count,partner_coverage,project_evidence,search_demand_status,local_page_evidence_status,owner_confirmation_status,provisional_content_format,final_indexability_status
Surapet,,,சூரப்பட்டு,Surapet,Zone 3 (Madhavaram),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai,"Madhavaram, Puzhal","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Vinayagapuram,,,விநாயகபுரம்,Vinayagapuram,Zone 3 (Madhavaram),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai,Madhavaram,"GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Tondiarpet,,,தண்டையார்பேட்டை,Tondiarpet,Zone 4 (Tondiarpet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai,"Royapuram, Washermanpet","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Washermanpet,,,வண்ணாரப்பேட்டை,Washermanpet,Zone 4 (Tondiarpet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai,"Tondiarpet, Royapuram","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Kaladipet,,,களாதிப்பேட்டை,Kaladipet,Zone 4 (Tondiarpet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai,Tondiarpet,"GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Old Washermanpet,,,,Old Washermanpet,Zone 4 (Tondiarpet),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai,"Washermanpet, Royapuram","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Royapuram,,,இராயபுரம்,Royapuram,Zone 5 (Royapuram),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai / material market,"Tondiarpet, George Town","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
George Town,,,ஜார்ஜ் டவுன்,George Town,Zone 5 (Royapuram),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai / material market,"Royapuram, Parrys","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Parrys Corner,,,பாரிமுனை,Parrys Corner,Zone 5 (Royapuram),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai / material market,"George Town, Broadway","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Broadway,,,பிராட்வே,Broadway,Zone 5 (Royapuram),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai / material market,"Parrys, George Town","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Mannady,,,மண்ணடி,Mannady,Zone 5 (Royapuram),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai / material market,"Broadway, Parrys","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Sowcarpet,,,சௌகார்பேட்டை,Sowcarpet,Zone 5 (Royapuram),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Central Chennai / material market,"Broadway, George Town","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Thiru Vi Ka Nagar,,,திரு.வி.க. நகர்,Thiru Vi Ka Nagar,Zone 6 (Thiru-Vi-Ka Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North-central Chennai,"Perambur, Kolathur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Perambur,,,பெரம்பூர்,Perambur,Zone 6 (Thiru-Vi-Ka Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North-central Chennai,"Kolathur, Vyasarpadi","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Vyasarpadi,,,வியாசர்பாடி,Vyasarpadi,Zone 6 (Thiru-Vi-Ka Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North-central Chennai,"Perambur, Tondiarpet","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Kolathur,,,கொளத்தூர்,Kolathur,Zone 6 (Thiru-Vi-Ka Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North-central Chennai,"Perambur, Villivakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Villivakkam,,,வில்லிவாக்கம்,Villivakkam,Zone 6 (Thiru-Vi-Ka Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North-central Chennai,"Kolathur, Anna Nagar","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Otteri,,,ஒட்டேரி,Otteri,Zone 6 (Thiru-Vi-Ka Nagar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North-central Chennai,"Perambur, Purasawalkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Ambattur,,,அம்பத்தூர்,Ambattur,Zone 7 (Ambattur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Ambattur–Avadi industrial,"Avadi, Padi, Mogappair","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Padi,,,பாடி,Padi,Zone 7 (Ambattur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Ambattur–Avadi industrial,"Ambattur, Anna Nagar West","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Mogappair,,,மொகப்பேர்,Mogappair,Zone 7 (Ambattur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Ambattur–Avadi industrial,"Ambattur, Anna Nagar","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
