# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# Encodes the owner's PROPOSED operating model (Phase 1D §3) for confirmation. 'Proposed classification' is a proposal, NOT confirmed fact. Repository/website presence is explicitly recorded as insufficient proof of operation.
# OV02 CONFIRMED 2026-07-25: quotation collector + sourcing coordinator + procurement consultant + supplier referral network + supplier directory + price-information publisher (restricted). NOT selected: direct seller, logistics coordinator.
capability,parent_segment,current_classification,proposed_classification,who_performs_the_work,who_contracts_with_client,who_invoices_client,who_is_professionally_responsible,who_provides_warranty,who_handles_complaints,current_operational_workflow,repository_evidence,website_claim,evidence_available,owner_confirmation,commercial_keyword_eligibility,informational_keyword_eligibility,directory_keyword_eligibility,locality_page_eligibility,schema_eligibility,cta_allowed,final_status
Quotation comparison,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
Construction estimation,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
Contractor comparison,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
Contractor-selection support,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
Project planning,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
Site-progress reporting,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
Quality-check coordination,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
Material quotation collection,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Supplier invoices the customer (Buildogram may charge a disclosed sourcing/consultation/referral fee),Buildogram for the review/report; NOT for third-party execution or certification,"Supplier — product availability, quality, GST, transport",Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,CONFIRMED (OV02 2026-07-25),"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,CONFIRMED — BUILDOGRAM-MANAGED WORKFLOW
Material sourcing coordination,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Supplier invoices the customer (Buildogram may charge a disclosed sourcing/consultation/referral fee),Buildogram for the review/report; NOT for third-party execution or certification,"Supplier — product availability, quality, GST, transport",Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,CONFIRMED (OV02 2026-07-25),"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,CONFIRMED — BUILDOGRAM-MANAGED WORKFLOW
Property inspection coordination,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
Structural-audit coordination,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
Handover documentation,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
Construction execution,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Architectural design,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Structural design,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Structural audit,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
NDT testing,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Soil testing,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Land surveying,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Drone surveying,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Piling,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Renovation,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Interiors,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Waterproofing,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Solar,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Elevators,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Home automation,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
Specialist building systems,Partner-coordinated,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PARTNER-COORDINATED SERVICE,Appointed partner / professional,CONFIRM — Buildogram or client contracts the partner?,CONFIRM — who invoices?,Appointed partner / professional (professional liability sits with the qualified professional),Appointed partner / professional,CONFIRM — Buildogram or partner?,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"CONDITIONAL — page must state coordination, not delivery. 'Contractor'/'certifier' terms NOT permitted for Buildogram",YES,YES,CONDITIONAL — requires partner coverage evidence per locality,Service schema ONLY with explicit coordination wording; never imply Buildogram performs the work,Request coordination / Get matched,PROPOSED — AWAITING OWNER DECISION
