# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# 26 rows, expanded from 12. Spelling-variant groups recorded. HONEST LIMITATION: no autocomplete/community capture performed. Classification distinguishes Natural Tanglish from English-with-local-intent; no unnatural machine hybrids were retained.
tanglish_query,tanglish_normalised_form,spelling_variant_group,natural_english_intent,classification,naturalness_score,user_type,domain_owner,search_intent_category,source,human_review_status,validation_status
cement bag rate innaiku chennai,cement rate innaikku chennai,innaiku|innaikku|today,cement rate today,Natural Tanglish,9,Builder,Buildogram,Price discovery,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
m sand rate today chennai,m sand rate today chennai,m sand|msand|m-sand,m-sand rate today,English with local intent,8,Builder,Buildogram,Price discovery,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
tmt steel rate innaiku,tmt steel rate innaikku,innaiku|innaikku,TMT rate today,Natural Tanglish,8,Builder,Buildogram,Price discovery,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
interior work panna evlo aagum,interior work panna evlo aagum,panna|pannuradhukku,interior work cost,Natural Tanglish,9,Homeowner,Buildogram,Price discovery,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
bathroom leak repair panra aal chennai,bathroom leak repair panra aal chennai,aal|person|contractor,who repairs bathroom leaks,Natural Tanglish,8,Homeowner,Buildogram,Provider seeking,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
rent house chennai 360 view,rent house chennai 360 view,view|tour,rental house with 360 tour,English with local intent,7,Tenant,Tolet Board Chennai,Virtual tour seeking,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
vadagai veedu chennai velachery,vaadagai veedu chennai velachery,vadagai|vaadagai,rental house Velachery,Natural Tanglish,9,Tenant,Tolet Board Chennai,Rental property seeking,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
veedu vangurathu ku check panna vendiyathu,veedu vaanguradhukku check panna vendiyadhu,vangurathu|vaanguradhu,what to check before buying a house,Natural Tanglish,9,Buyer,Buildogram,Learning/checklist,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
flat sale chennai virtual tour,flat sale chennai virtual tour,—,flat for sale with virtual tour,English with local intent,7,Buyer,Realprop Realty,Virtual tour seeking,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
plot vangi veedu katta cost,plot vaangi veedu katta cost,vangi|vaangi,cost to build after buying a plot,Natural Tanglish,9,Buyer,Buildogram,Price discovery,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
old house renovate panna evlo,old house renovate panna evlo,—,old house renovation cost,Natural Tanglish,9,Homeowner,Buildogram,Price discovery,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
