# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
segment,parent_category,subcategory,service,user_problem,audience,building_property_type,project_stage,current_domain_owner,existing_url,existing_repo_source,delivery_model,evidence_status,commercial_relevance,search_intent_families,local_applicability,owner_confirmation_required,research_priority
Construction execution,Build,Execution,School construction,Institutional build,Institution,School,Execution,Buildogram,PENDING_ARCH_DECISION,none,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Hospital construction,Healthcare build,Institution,Hospital,Execution,Buildogram,PENDING_ARCH_DECISION,none,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Hotel construction,Hospitality build,Business owner,Hotel,Execution,Buildogram,PENDING_ARCH_DECISION,none,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Industrial construction,Industrial facility,Industrialist,Industrial,Execution,Buildogram,/industrial-shed-construction-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Factory construction,Factory shed,Industrialist,Factory,Execution,Buildogram,PENDING_ARCH_DECISION,serviceHubs.js (no renderer),OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Warehouse construction,Warehouse/logistics,Industrialist,Warehouse,Execution,Buildogram,PENDING_ARCH_DECISION,serviceHubs.js (no renderer),OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Turnkey construction,Single-point delivery,Homeowner,Any,Execution,Buildogram,/turnkey-construction-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,End-to-end construction support,Owner-side coordination,Homeowner,Any,All stages,Buildogram,/end-to-end-construction-support-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Civil contracting,Contractor selection,Homeowner,Any,Execution,Buildogram,/builders-in-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,NRI house construction,Remote oversight,NRI owner,Individual house,All stages,Buildogram,PENDING_ARCH_DECISION,none,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Joint venture construction,JV structuring,Landowner,Any,Pre-construction,Buildogram,PENDING_ARCH_DECISION,none,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Plot development,Raw land to build,Landowner,Plot,Pre-construction,Buildogram,PENDING_ARCH_DECISION,none,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Redevelopment,Old building replacement,Owner/association,Any,Pre-construction,Buildogram,PENDING_ARCH_DECISION,none,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Pre-construction,Design & approvals,Design,Architectural design,Need plan/design,Homeowner,Any,Design,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Design,Floor plan design,Layout planning,Homeowner,Any,Design,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Design,House plan review,Plan errors before build,Homeowner,Any,Design,Buildogram,/plan-review,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Design,Vastu-aligned plan review,Vastu compliance,Homeowner,Any,Design,Buildogram,/plan-review,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Design,3D elevation design,Visualise facade,Homeowner,Any,Design,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Design,Structural design,Structural adequacy,Homeowner,Any,Design,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Design,Structural drawing review,Under-design risk,Homeowner,Any,Design,Buildogram,/structural-plan-review-chennai,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Design,MEP design review,Services coordination,Owner/business,Any,Design,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Design,Constructability review,Buildability issues,Owner,Any,Design,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Design,Value engineering,Over-design cost,Owner,Any,Design,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Approvals,CMDA approval guidance,Approval process unclear,Owner,Any,Approvals,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Approvals,GCC building approval guidance,Approval process unclear,Owner,Any,Approvals,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Approvals,DTCP approval guidance,Peri-urban approval,Owner,Any,Approvals,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Approvals,Building permit guidance,Permit process,Owner,Any,Approvals,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Pre-construction,Design & approvals,Approvals,Regularisation guidance,Unapproved construction,Owner,Any,Approvals,Buildogram,PENDING_ARCH_DECISION,data/services.js / app route,OWNER_CONFIRMATION_REQUIRED — in-house vs coordinated,Repo content partial,HIGH,"informational,commercial,local",Chennai + planning authority varies,YES,P1
Estimation & cost control,Commercial,Estimation,Construction cost estimation,Budget unknown,Homeowner,Any,Pre-construction/Execution,Buildogram,/construction-cost-estimation-chennai,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Cost per sqft guidance,Rate benchmarking,Homeowner,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Detailed estimate preparation,Need itemised budget,Homeowner,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,BOQ preparation,No BOQ from contractor,Homeowner,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,BOQ review / audit,BOQ hides costs,Homeowner,Any,Pre-construction/Execution,Buildogram,/boq-review-chennai,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Contractor quotation review,Cannot compare quotes,Homeowner,Any,Pre-construction/Execution,Buildogram,/contractor-quote-review-chennai,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Quotation comparison,Multiple quotes differ,Homeowner,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Rate analysis,Rate justification,Homeowner,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Quantity surveying,Quantity verification,Owner/developer,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Bar bending schedule review,Steel quantity check,Owner,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Material take-off,Material planning,Owner,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Tender preparation,Formal tendering,Developer/institution,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Tender evaluation,Bid comparison,Developer/institution,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Construction budget planning,Cashflow planning,Homeowner,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Variation order review,Scope creep cost,Owner,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Contractor bill verification,Overbilling risk,Owner,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Estimation & cost control,Commercial,Estimation,Final account review,Closing disputes,Owner,Any,Pre-construction/Execution,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct (owner-side advisory) — CONFIRM,Repo content exists,VERY HIGH,"commercial,informational,comparison",Chennai-wide,YES,P0-priority cluster
Project management,Delivery,Supervision,Construction project management,No owner-side control,Owner,Any,Execution/Handover,Buildogram,/construction-project-management-chennai,data/services.js,Direct — CONFIRM staffing model,Repo content exists,VERY HIGH,"commercial,local",Chennai + travel radius,YES,P1
Project management,Delivery,Supervision,Owner representative service,Owner not on site,NRI/busy owner,Any,Execution/Handover,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct — CONFIRM staffing model,Repo content exists,VERY HIGH,"commercial,local",Chennai + travel radius,YES,P1
Project management,Delivery,Supervision,Site supervision,Unsupervised quality,Owner,Any,Execution/Handover,Buildogram,/site-supervision-chennai,data/services.js,Direct — CONFIRM staffing model,Repo content exists,VERY HIGH,"commercial,local",Chennai + travel radius,YES,P1
Project management,Delivery,Supervision,Stage-wise quality inspection,Hidden defects,Owner,Any,Execution/Handover,Buildogram,/quality-inspection-chennai,data/services.js,Direct — CONFIRM staffing model,Repo content exists,VERY HIGH,"commercial,local",Chennai + travel radius,YES,P1
Project management,Delivery,Supervision,Snag / handover inspection,Defects at handover,Owner/buyer,Any,Execution/Handover,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct — CONFIRM staffing model,Repo content exists,VERY HIGH,"commercial,local",Chennai + travel radius,YES,P1
Project management,Delivery,Supervision,Construction scheduling,Delay risk,Owner,Any,Execution/Handover,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct — CONFIRM staffing model,Repo content exists,VERY HIGH,"commercial,local",Chennai + travel radius,YES,P1
Project management,Delivery,Supervision,Progress tracking & reporting,No visibility,Owner/NRI,Any,Execution/Handover,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct — CONFIRM staffing model,Repo content exists,VERY HIGH,"commercial,local",Chennai + travel radius,YES,P1
Project management,Delivery,Supervision,Contractor coordination,Multiple vendors,Owner,Any,Execution/Handover,Buildogram,PENDING_ARCH_DECISION,data/services.js,Direct — CONFIRM staffing model,Repo content exists,VERY HIGH,"commercial,local",Chennai + travel radius,YES,P1
Project management,Delivery,Supervision,Construction documentation,Records lost,Owner,Any,Execution/Handover,Buildogram,/property-passport,data/services.js,Direct — CONFIRM staffing model,Repo content exists,VERY HIGH,"commercial,local",Chennai + travel radius,YES,P1
Project management,Delivery,Supervision,Property Passport,No permanent record,Owner,Any,Execution/Handover,Buildogram,/property-passport,data/services.js,Direct — CONFIRM staffing model,Repo content exists,VERY HIGH,"commercial,local",Chennai + travel radius,YES,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Structural audit,Building safety doubt,Owner/association,Any,Existing building,Buildogram,/structural-audit-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Building structural audit,Ageing building,Association,Any,Existing building,Buildogram,/building-structural-audit-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Residential structural audit,House safety,Homeowner,Any,Existing building,Buildogram,/residential-structural-audit-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Commercial structural audit,Commercial safety,Business,Any,Existing building,Buildogram,/commercial-structural-audit-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Apartment structural audit,Association compliance,Association,Any,Existing building,Buildogram,PENDING_PAGE — currently 301s to pillar,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Old building structural audit,Age-related distress,Owner,Any,Existing building,Buildogram,/old-building-structural-audit-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Industrial structural audit,Plant safety,Industrialist,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Building stability assessment,Occupancy safety,Owner,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Stability certificate coordination,Authority requirement,Owner/association,Any,Existing building,Buildogram,NEEDS_LEGAL_CONFIRMATION,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Crack inspection,Visible cracks,Homeowner,Any,Existing building,Buildogram,/building-crack-inspection-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Water leakage / seepage inspection,Leaks,Homeowner,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Foundation settlement inspection,Settlement signs,Homeowner,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Pre-purchase building inspection,Buying risk,Buyer,Any,Existing building,Buildogram,PENDING_ARCH_DECISION — cross-domain w/ Realprop,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Home / property inspection,Condition unknown,Buyer/tenant,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,NDT testing coordination,Need test evidence,Owner,Any,Existing building,Buildogram,/ndt-testing-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Rebound hammer test,Concrete strength,Owner,Any,Existing building,Buildogram,/rebound-hammer-test-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,UPV test,Concrete integrity,Owner,Any,Existing building,Buildogram,/upv-test-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Rebar scanning / cover meter,Reinforcement check,Owner,Any,Existing building,Buildogram,/rebar-scanning-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Concrete core test,Strength verification,Owner,Any,Existing building,Buildogram,/core-test-concrete-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Structural repair guidance,Repair scope,Owner,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
Structural engineering & diagnostics,Assessment,Diagnostics,Retrofitting guidance,Strengthening need,Owner,Any,Existing building,Buildogram,PENDING_ARCH_DECISION,data/services.js,OWNER_CONFIRMATION_REQUIRED — in-house vs lab-coordinated; certification authority unconfirmed,SAFETY-SENSITIVE — expert review mandatory,VERY HIGH,"commercial,local,informational",Chennai-wide,YES — credentials + lab arrangements,P1
"Survey, soil & foundation",Pre-construction,Geotechnical/Survey,Land survey,Boundary uncertainty,Owner,Any,Pre-construction,Buildogram,/land-survey-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — equipment/lab ownership vs coordination,SAFETY-SENSITIVE — no area-wide prescriptions permitted,HIGH,"commercial,local",Chennai + metro districts,YES,P1
