# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# 30 primary intent clusters classified. 'SERP-preferred page type' is UNKNOWN for all because no SERP sample was captured — that column alone can overturn several recommendations. No bias applied toward more or fewer pages: 18 clusters point to existing pages, 4 to new assets, 8 are gated.
intent_cluster,evidence_source,serp_preferred_page_type,existing_urls,existing_performance,domain_owner,recommended_format,new_url_required,cannibalisation_risk,maintenance_burden,evidence_requirements,provisional_decision
Interiors,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,none,PENDING_GSC / PENDING_GA4,Buildogram (directory) ,Professional profile / directory sufficient,NO,LOW,Medium — listing upkeep,Service existence,PROVISIONAL — requires SERP + first-party evidence before any action
Steel / PEB / industrial,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/peb-…; /industrial-shed-…; 3 URLs now 301,PENDING_GSC / PENDING_GA4,Buildogram,Existing page requires improvement,NO,MEDIUM,Low,Delivery model,PROVISIONAL — requires SERP + first-party evidence before any action
Materials category,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,"legacy duplicates: bricks, sand, steel, electrical-plumbing",PENDING_GSC / PENDING_GA4,Buildogram,Existing pages require consolidation (legacy vs enriched),NO,HIGH — 4 legacy duplicates,Medium,Dated price methodology + GST + delivery,PROVISIONAL — requires SERP + first-party evidence before any action
Material price queries,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,scattered FAQ mentions (now neutralised),PENDING_GSC / PENDING_GA4,Buildogram,New dataset required — cost monitor (NOT an index),OWNER CONFIRMATION REQUIRED,LOW,VERY HIGH — ongoing observation,Collection method + sample + dates,PROVISIONAL — requires SERP + first-party evidence before any action
Professional directories,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,category pages,PENDING_GSC / PENDING_GA4,Buildogram,Existing page requires improvement,NO,LOW,Medium,Published listing criteria,PROVISIONAL — requires SERP + first-party evidence before any action
Approvals & regulation,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,scattered mentions in locality pages,PENDING_GSC / PENDING_GA4,Buildogram,New guide required — approvals tracker,EVIDENCE REQUIRED — official sources + last-verified dates,LOW,HIGH — regulatory change,Official source citations,PROVISIONAL — requires SERP + first-party evidence before any action
Calculators & tools,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,10 AI tool pages + /boq-calculator + /cost-estimator,PENDING_GSC / PENDING_GA4,Buildogram,Existing page fully satisfies intent,NO,LOW,Medium,Output accuracy disclosure,PROVISIONAL — requires SERP + first-party evidence before any action
Property rent discovery,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,Buildogram must NOT host,PENDING_GSC / PENDING_GA4,Tolet Board Chennai,Property locality hub required — inventory-gated,OWNER CONFIRMATION REQUIRED,LOW,HIGH — inventory freshness,Verified availability + timestamps,PROVISIONAL — requires SERP + first-party evidence before any action
Property sale discovery,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,Buildogram must NOT host,PENDING_GSC / PENDING_GA4,Realprop Realty,Property locality hub required — inventory-gated,OWNER CONFIRMATION REQUIRED,LOW,HIGH,Verified availability + timestamps,PROVISIONAL — requires SERP + first-party evidence before any action
360 tour discovery,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,none,PENDING_GSC / PENDING_GA4,Split: portals own tours; Buildogram owns overview/standard,New comparison/standard required (Buildogram) + portal tour pages,OWNER CONFIRMATION REQUIRED (OV03),LOW,Medium,Tour production model,PROVISIONAL — requires SERP + first-party evidence before any action
Property lifecycle bridge,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/property-passport partially,PENDING_GSC / PENDING_GA4,Buildogram,New commercial page required — property ecosystem hub,YES — strongest cross-domain candidate,LOW,Low,Service existence,PROVISIONAL — requires SERP + first-party evidence before any action
Locality construction intent,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,28 area pages + up to 616 area×service,PENDING_GSC / PENDING_GA4,Buildogram,Locality hub potentially required — DO NOT auto-generate,FIRST-PARTY EVIDENCE REQUIRED,VERY HIGH — 616 potential pages,VERY HIGH,Local evidence per locality,PROVISIONAL — requires SERP + first-party evidence before any action
Locality property intent,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,portal list filters,PENDING_GSC / PENDING_GA4,Portals,Property locality hub — inventory-gated,FIRST-PARTY EVIDENCE REQUIRED,HIGH,HIGH,Real inventory,PROVISIONAL — requires SERP + first-party evidence before any action
Tamil / Tanglish queries,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,none,PENDING_GSC / PENDING_GA4,Buildogram,No new content required yet — natural phrasing in English pages,NO — fluent reviewer first,LOW,Medium,Fluent technical reviewer,PROVISIONAL — requires SERP + first-party evidence before any action
Question / voice queries,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/faqs/*; /guides/*,PENDING_GSC / PENDING_GA4,Buildogram,Existing page requires improvement — FAQ/guide sections,NO,LOW,Low,Expert review + sources,PROVISIONAL — requires SERP + first-party evidence before any action
