# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
segment,transaction_type,property_class,property_subtype,user_problem,audience,domain_owner,buildogram_adjacent_service,existing_url_pattern,evidence_status,commercial_relevance,search_intent_families,local_applicability,owner_confirmation_required,research_priority
Property,Rent / lease,Commercial,Industrial shed,Industrial lease,Industrialist,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Sale / purchase,Residential,Apartment / flat,Buy a flat,Buyer,Realprop Realty,Pre-purchase inspection; structural audit; renovation estimate; construction on plot,realproprealty.com/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Sale / purchase,Residential,Independent house,Buy a house,Buyer,Realprop Realty,Pre-purchase inspection; structural audit; renovation estimate; construction on plot,realproprealty.com/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Sale / purchase,Residential,Villa,Buy a villa,Buyer,Realprop Realty,Pre-purchase inspection; structural audit; renovation estimate; construction on plot,realproprealty.com/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Sale / purchase,Residential,Plot / land,Buy land to build,Buyer/investor,Realprop Realty,Pre-purchase inspection; structural audit; renovation estimate; construction on plot,realproprealty.com/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Sale / purchase,Commercial,Office space,Buy office,Investor/business,Realprop Realty,Pre-purchase inspection; structural audit; renovation estimate; construction on plot,realproprealty.com/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Sale / purchase,Commercial,Shop / retail,Buy retail,Investor,Realprop Realty,Pre-purchase inspection; structural audit; renovation estimate; construction on plot,realproprealty.com/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Sale / purchase,Commercial,Warehouse,Buy warehouse,Investor,Realprop Realty,Pre-purchase inspection; structural audit; renovation estimate; construction on plot,realproprealty.com/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Sale / purchase,Commercial,Commercial land,Buy commercial plot,Investor,Realprop Realty,Pre-purchase inspection; structural audit; renovation estimate; construction on plot,realproprealty.com/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Discovery / cross-cutting,Discovery,360° virtual tour discovery,Judge property remotely,Tenant/buyer/NRI,Both portals (own listing tours),Buildogram: tour ecosystem overview + quality standard ONLY,portal routes,INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P2
Property,Discovery / cross-cutting,Discovery,Furnished property search,Move-in ready,Tenant,Tolet Board,—,portal routes,INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P2
Property,Discovery / cross-cutting,Discovery,Family / bachelor suitability filters,Tenancy restrictions,Tenant,Tolet Board,—,portal routes,INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P2
Property,Discovery / cross-cutting,Discovery,Locality property hub,Compare areas,Tenant/buyer,Portals (inventory-backed only),Buildogram: locality construction context,portal routes,INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P2
Property,Discovery / cross-cutting,Discovery,Property availability verification,Stale listings,Tenant/buyer,Portals,—,portal routes,INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P2
Property,Discovery / cross-cutting,Discovery,Owner/landlord listing service,List my property,Landlord,Tolet Board,Rent-ready works,portal routes,INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P2
Property,Discovery / cross-cutting,Discovery,Seller listing service,Sell my property,Seller,Realprop,Pre-sale renovation,portal routes,INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P2
