# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# Cluster-level provisional mapping. NOT authorisation to create pages. Final URL/redirect/indexability decisions deferred per owner instruction §9.
cluster_id,query_cluster,representative_queries,primary_intent,domain_owner,recommended_content_format,provisional_canonical,competing_existing_urls,consolidation_note,evidence_required,owner_confirmation,data_dependency,decision_status
QC18,Materials category,cement supplier chennai; tmt steel price; m sand supplier,transactional/commercial,Buildogram,Material category pages + dated price methodology,/materials/[category],"legacy duplicates: bricks, sand, steel, electrical-plumbing",Group C12 — legacy vs enriched duplicates,Dated price methodology + GST + delivery,YES — BUSINESS MODEL BLOCKS KEYWORD CHOICE,PENDING_VALIDATED_PROVIDER,PROVISIONAL — P0 AND DATA GATES PENDING
QC19,Material price queries,cement price chennai; tmt steel rate chennai,commercial-informational,Buildogram,Dated price-index asset (original research),PROPOSED — Chennai material price index,scattered FAQ mentions (now neutralised),Highest AEO-citation potential IF methodology real,Collection method + sample + dates,YES,PENDING_VALIDATED_PROVIDER,PROVISIONAL — P0 AND DATA GATES PENDING
QC20,Professional directories,builders directory; contractors directory; architects chennai,commercial-local,Buildogram,Directory hubs (no screening claims),/partners/directory,category pages,Listing quality unverified; demo-* guarded,Published listing criteria,YES,PENDING portal/DB audit,PROVISIONAL — P0 AND DATA GATES PENDING
QC21,Approvals & regulation,cmda approval; gcc building approval; dtcp approval; building permit,informational,Buildogram,Guides with cited official sources + last-verified date,PROPOSED — approvals hub,scattered mentions in locality pages,High AEO value; regulatory accuracy critical,Official source citations,NO (but legal review),PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC22,Calculators & tools,boq calculator; construction cost calculator; steel calculator,informational-tool,Buildogram,Existing tools + tool hub,/ai-tools,10 AI tool pages + /boq-calculator + /cost-estimator,Strong AEO/link asset; ensure crawlable explanation,Output accuracy disclosure,NO,PENDING_GA4 engagement,PROVISIONAL — P0 AND DATA GATES PENDING
QC23,Property rent discovery,apartments for rent chennai; office space for lease chennai,transactional-local,Tolet Board Chennai,Portal locality hubs + listings,toletboardchennai.in locality hubs,Buildogram must NOT host,Inventory-gated,Verified availability + timestamps,YES — INVENTORY INTEGRITY,PENDING portal audit,PROVISIONAL — P0 AND DATA GATES PENDING
QC24,Property sale discovery,apartments for sale chennai; plots for sale chennai,transactional-local,Realprop Realty,Portal locality hubs + listings,realproprealty.com locality hubs,Buildogram must NOT host,Inventory-gated,Verified availability + timestamps,YES — INVENTORY INTEGRITY,PENDING portal audit,PROVISIONAL — P0 AND DATA GATES PENDING
QC25,360 tour discovery,360 property tour chennai; virtual property tour chennai,commercial-informational,Split: portals own tours; Buildogram owns overview/standard,Portal tour pages + Buildogram ecosystem overview + quality standard,PROPOSED — Buildogram tour ecosystem overview,none,Buildogram service page ONLY if it produces/coordinates tours,Tour production model,YES,PENDING portal audit,PROVISIONAL — P0 AND DATA GATES PENDING
QC26,Property lifecycle bridge,pre purchase inspection chennai; renovation after buying; rent ready renovation,commercial,Buildogram,PROPOSED — property ecosystem hub + service pages,PROPOSED — /property-ecosystem hub,/property-passport partially,Connects all three domains; highest cross-domain value,Service existence,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC27,Locality construction intent,house construction in [locality] ×70 localities,commercial-local,Buildogram,Locality hub sections OR eligibility-gated locality-service pages,PENDING — Part 8 scoring required,28 area pages + up to 616 area×service,Do NOT auto-generate; score first,Local evidence per locality,YES — service availability,PENDING_GSC + owner,PROVISIONAL — P0 AND DATA GATES PENDING
QC28,Locality property intent,apartments for rent in [locality]; flats for sale in [locality],transactional-local,Portals,Portal locality hubs ONLY where real inventory exists,PENDING,portal list filters,Empty hubs prohibited,Real inventory,YES,PENDING portal audit,PROVISIONAL — P0 AND DATA GATES PENDING
QC29,Tamil / Tanglish queries,சென்னையில் வீடு கட்டும் செலவு; veedu kattura cost chennai,informational,Buildogram,Natural phrasing in English pages; Tamil pages only with fluent reviewer + hreflang,PENDING,none,No mass machine translation,Fluent technical reviewer,YES — policy,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC30,Question / voice queries,how much to build a house in chennai; when is structural audit needed,informational,Buildogram,FAQ + guide sections on flagship hubs,assign per hub,/faqs/*; /guides/*,Highest AI-citation surface,Expert review + sources,NO,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
