# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# 33 rows, expanded from 12. HONEST LIMITATION: none captured from Tamil Google autocomplete, Tamil PAA, YouTube suggestions or Tamil community sources — those require access this environment does not have. Every row is an expert hypothesis pending fluent-reviewer approval.
tamil_query,transliteration,literal_english,natural_english_intent,user_type,domain_owner,search_intent_category,register_colloquial_or_formal,would_a_chennai_user_say_this,discovery_source,human_review_status,validation_status
சுவரில் விரிசல் காரணம்,suvaril virisal kaaranam,crack in wall reason,wall crack cause diagnosis,Homeowner,Buildogram,Problem diagnosis,Colloquial,VERY LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
கான்கிரீட் விரிசல் பழுது,concrete virisal pazhudhu,concrete crack repair,crack repair,Homeowner,Buildogram,Problem diagnosis,Mixed,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
மதிப்பீடு BOQ என்றால் என்ன,mathippeedu BOQ endral enna,what is estimate BOQ,what is a BOQ,Homeowner,Buildogram,Learning/definition,Mixed,POSSIBLE,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
ஒப்பந்ததாரர் மதிப்பீடு சரிபார்ப்பு,oppandhathaarar mathippeedu saripaarppu,contractor estimate verification,contractor quote review,Homeowner,Buildogram,Assessment seeking,Formal,POSSIBLE — likely searched in English,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
சிமெண்ட் விலை சென்னை,cement vilai Chennai,cement price Chennai,cement price today,Builder/homeowner,Buildogram,Price discovery,Loanword + Tamil,VERY LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
இரும்பு கம்பி விலை சென்னை,irumbu kambi vilai Chennai,steel rod price Chennai,TMT steel price,Builder/homeowner,Buildogram,Price discovery,Colloquial,VERY LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
எம் சாண்ட் விலை,M sand vilai,M-sand price,m-sand rate,Builder,Buildogram,Price discovery,Loanword,VERY LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
செங்கல் விலை சென்னை,sengal vilai Chennai,brick price Chennai,brick rate,Builder,Buildogram,Price discovery,Tamil,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
கழிவறை பொருட்கள் சென்னை,kazhivarai porutkal Chennai,bathroom materials Chennai,sanitaryware supplier,Homeowner,Buildogram,Supplier seeking,Formal,POSSIBLE,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
மின்சார பொருட்கள் சென்னை,minsaara porutkal Chennai,electrical materials Chennai,electrical materials supplier,Builder,Buildogram,Supplier seeking,Formal,POSSIBLE,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
வீடு புதுப்பித்தல் செலவு,veedu puthuppithal selavu,house renovation expense,renovation cost,Homeowner,Buildogram,Price discovery,Formal,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
குளியலறை புதுப்பித்தல்,kuliyalarai puthuppithal,bathroom renovation,bathroom renovation,Homeowner,Buildogram,Service seeking,Formal,POSSIBLE,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
தண்ணீர் கசிவு பழுது சென்னை,thanneer kasivu pazhudhu Chennai,water leakage repair Chennai,waterproofing/leak repair,Homeowner,Buildogram,Problem diagnosis,Colloquial,VERY LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
மொட்டை மாடி வாட்டர் ப்ரூஃபிங்,mottai maadi waterproofing,terrace waterproofing,terrace waterproofing,Homeowner,Buildogram,Service seeking,Code-mixed,VERY LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
சென்னையில் வாடகை வீடு,Chennaiyil vaadagai veedu,rental house in Chennai,house for rent Chennai,Tenant,Tolet Board Chennai,Rental property seeking,Colloquial,VERY LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
வாடகைக்கு வீடு அண்ணா நகர்,vaadagaikku veedu Anna Nagar,house for rent Anna Nagar,locality rental search,Tenant,Tolet Board Chennai,Rental property seeking,Colloquial,VERY LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
வாடகை கடை சென்னை,vaadagai kadai Chennai,rental shop Chennai,commercial shop for lease,Business,Tolet Board Chennai,Rental property seeking,Colloquial,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
சென்னையில் விற்பனைக்கு வீடு,Chennaiyil virpanaikku veedu,house for sale in Chennai,house for sale,Buyer,Realprop Realty,Sale property seeking,Formal,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
மனை விற்பனை சென்னை,manai virpanai Chennai,plot sale Chennai,plot for sale,Buyer,Realprop Realty,Sale property seeking,Formal,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
வீடு வாங்கும் முன் சரிபார்க்க வேண்டியவை,veedu vaangum mun saripaarkka vendiyavai,things to check before buying a house,pre-purchase checks,Buyer,Buildogram,Learning/checklist,Formal,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
360 டிகிரி வீடு பார்வை,360 degree veedu paarvai,360 degree house view,360 property tour,Tenant/buyer,Portals,Virtual tour seeking,Code-mixed,POSSIBLE,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
பைலிங் வேலை சென்னை,piling velai Chennai,piling work Chennai,pile foundation work,Owner,Buildogram,Service seeking,Loanword,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
இன்டீரியர் வேலை செலவு,interior velai selavu,interior work cost,interior cost,Homeowner,Buildogram,Price discovery,Code-mixed,VERY LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
