# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# All 161 localities enumerated with the 10 modifier forms to test. EVERY classification is INSUFFICIENT EVIDENCE — no search-behaviour data could be obtained here. Populate after GSC connection + autocomplete capture.
locality,parent_zone_or_body,corridor,construction_search_identity,property_rent_search_identity,property_sale_search_identity,material_search_identity,professional_service_search_identity,modifier_forms_to_test,evidence_source,classification_basis,status
Tiruvottiyur,Zone 1 (Tiruvottiyur),North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Vinayagapuram,Zone 3 (Madhavaram),North Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Tondiarpet,Zone 4 (Tondiarpet),North Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Washermanpet,Zone 4 (Tondiarpet),North Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kaladipet,Zone 4 (Tondiarpet),North Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Old Washermanpet,Zone 4 (Tondiarpet),North Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Royapuram,Zone 5 (Royapuram),Central Chennai / material market,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
George Town,Zone 5 (Royapuram),Central Chennai / material market,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Parrys Corner,Zone 5 (Royapuram),Central Chennai / material market,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Broadway,Zone 5 (Royapuram),Central Chennai / material market,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Mannady,Zone 5 (Royapuram),Central Chennai / material market,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Sowcarpet,Zone 5 (Royapuram),Central Chennai / material market,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Thiru Vi Ka Nagar,Zone 6 (Thiru-Vi-Ka Nagar),North-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Perambur,Zone 6 (Thiru-Vi-Ka Nagar),North-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Vyasarpadi,Zone 6 (Thiru-Vi-Ka Nagar),North-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kolathur,Zone 6 (Thiru-Vi-Ka Nagar),North-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Villivakkam,Zone 6 (Thiru-Vi-Ka Nagar),North-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Otteri,Zone 6 (Thiru-Vi-Ka Nagar),North-central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Ambattur,Zone 7 (Ambattur),Ambattur–Avadi industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Padi,Zone 7 (Ambattur),Ambattur–Avadi industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Mogappair,Zone 7 (Ambattur),Ambattur–Avadi industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Korattur,Zone 7 (Ambattur),Ambattur–Avadi industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Anna Nagar West Extension,Zone 7 (Ambattur),Ambattur–Avadi industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Menambedu,Zone 7 (Ambattur),Ambattur–Avadi industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Thirumullaivoyal,Zone 7 (Ambattur),Ambattur–Avadi industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Anna Nagar,Zone 8 (Anna Nagar),Central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Aminjikarai,Zone 8 (Anna Nagar),Central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Shenoy Nagar,Zone 8 (Anna Nagar),Central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kilpauk,Zone 8 (Anna Nagar),Central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Purasawalkam,Zone 8 (Anna Nagar),Central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Nungambakkam,Zone 8 (Anna Nagar),Central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Egmore,Zone 8 (Anna Nagar),Central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Chetpet,Zone 8 (Anna Nagar),Central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Arumbakkam,Zone 8 (Anna Nagar),Central Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Teynampet,Zone 9 (Teynampet),Central / prime Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
T Nagar,Zone 9 (Teynampet),Central / prime Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Alwarpet,Zone 9 (Teynampet),Central / prime Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Mylapore,Zone 9 (Teynampet),Central / prime Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Mandaveli,Zone 9 (Teynampet),Central / prime Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Royapettah,Zone 9 (Teynampet),Central / prime Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Triplicane,Zone 9 (Teynampet),Central / prime Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Nandanam,Zone 9 (Teynampet),Central / prime Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
