# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# Every one of the 183 rows individually classified. 'Evidence in operating workflow' is NOT_OBSERVED for all rows — no operational data was available. Modifiers, customer problems and project stages were NOT counted as services.
service,segment,row_classification,evidence_in_repository,evidence_in_operating_workflow,owner_confirmation,relevant_domain,commercial_eligibility,informational_eligibility,schema_eligibility,page_eligibility,consolidation_parent,action
Turnkey construction,Construction execution,Unsupported until owner confirms delivery model,YES — /turnkey-construction-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Construction execution,REMOVE FROM COMMERCIAL PLANNING
End-to-end construction support,Construction execution,Unsupported until owner confirms delivery model,YES — /end-to-end-construction-support-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Civil contracting,Construction execution,Unsupported until owner confirms delivery model,YES — /builders-in-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Construction execution,REMOVE FROM COMMERCIAL PLANNING
NRI house construction,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Joint venture construction,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Plot development,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Redevelopment,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Architectural design,Pre-construction,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Pre-construction,REMOVE FROM COMMERCIAL PLANNING
Floor plan design,Pre-construction,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Pre-construction,REMOVE FROM COMMERCIAL PLANNING
House plan review,Pre-construction,Unsupported until owner confirms delivery model,YES — /plan-review,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Pre-construction,REMOVE FROM COMMERCIAL PLANNING
Vastu-aligned plan review,Pre-construction,Unsupported until owner confirms delivery model,YES — /plan-review,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Pre-construction,REMOVE FROM COMMERCIAL PLANNING
3D elevation design,Pre-construction,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Pre-construction,REMOVE FROM COMMERCIAL PLANNING
Structural design,Pre-construction,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Pre-construction,REMOVE FROM COMMERCIAL PLANNING
Structural drawing review,Pre-construction,Unsupported until owner confirms delivery model,YES — /structural-plan-review-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Pre-construction,REMOVE FROM COMMERCIAL PLANNING
MEP design review,Pre-construction,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Pre-construction,REMOVE FROM COMMERCIAL PLANNING
Constructability review,Pre-construction,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Pre-construction,REMOVE FROM COMMERCIAL PLANNING
Value engineering,Pre-construction,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Pre-construction,REMOVE FROM COMMERCIAL PLANNING
CMDA approval guidance,Pre-construction,Informational subject,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,PENDING — evidence + SERP required,Pre-construction,RETAIN — pending owner confirmation
GCC building approval guidance,Pre-construction,Informational subject,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,PENDING — evidence + SERP required,Pre-construction,RETAIN — pending owner confirmation
DTCP approval guidance,Pre-construction,Informational subject,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,PENDING — evidence + SERP required,Pre-construction,RETAIN — pending owner confirmation
Building permit guidance,Pre-construction,Informational subject,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,PENDING — evidence + SERP required,Pre-construction,RETAIN — pending owner confirmation
Regularisation guidance,Pre-construction,Informational subject,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,PENDING — evidence + SERP required,Pre-construction,RETAIN — pending owner confirmation
Construction cost estimation,Estimation & cost control,"Buildogram-managed service (asserted, unconfirmed)",YES — /construction-cost-estimation-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Estimation & cost control,RETAIN — pending owner confirmation
Cost per sqft guidance,Estimation & cost control,Informational subject,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,PENDING — evidence + SERP required,Estimation & cost control,RETAIN — pending owner confirmation
Detailed estimate preparation,Estimation & cost control,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,REMOVE FROM COMMERCIAL PLANNING
BOQ preparation,Estimation & cost control,Subservice of BOQ cluster,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,MERGE INTO PARENT
BOQ review / audit,Estimation & cost control,"Buildogram-managed service (asserted, unconfirmed)",YES — /boq-review-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Estimation & cost control,RETAIN — pending owner confirmation
Contractor quotation review,Estimation & cost control,"Buildogram-managed service (asserted, unconfirmed)",YES — /contractor-quote-review-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Estimation & cost control,RETAIN — pending owner confirmation
Quotation comparison,Estimation & cost control,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,REMOVE FROM COMMERCIAL PLANNING
Rate analysis,Estimation & cost control,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,REMOVE FROM COMMERCIAL PLANNING
Quantity surveying,Estimation & cost control,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,REMOVE FROM COMMERCIAL PLANNING
Bar bending schedule review,Estimation & cost control,Subservice of BOQ cluster,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,MERGE INTO PARENT
Material take-off,Estimation & cost control,Subservice of BOQ cluster,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,MERGE INTO PARENT
Tender preparation,Estimation & cost control,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,REMOVE FROM COMMERCIAL PLANNING
Tender evaluation,Estimation & cost control,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,REMOVE FROM COMMERCIAL PLANNING
Construction budget planning,Estimation & cost control,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,REMOVE FROM COMMERCIAL PLANNING
Variation order review,Estimation & cost control,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,REMOVE FROM COMMERCIAL PLANNING
Contractor bill verification,Estimation & cost control,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,REMOVE FROM COMMERCIAL PLANNING
Final account review,Estimation & cost control,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Estimation & cost control,REMOVE FROM COMMERCIAL PLANNING
Construction project management,Project management,"Buildogram-managed service (asserted, unconfirmed)",YES — /construction-project-management-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Project management,RETAIN — pending owner confirmation
Owner representative service,Project management,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Project management,REMOVE FROM COMMERCIAL PLANNING
Site supervision,Project management,"Buildogram-managed service (asserted, unconfirmed)",YES — /site-supervision-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Project management,RETAIN — pending owner confirmation
Stage-wise quality inspection,Project management,"Buildogram-managed service (asserted, unconfirmed)",YES — /quality-inspection-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Project management,RETAIN — pending owner confirmation
Snag / handover inspection,Project management,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Project management,REMOVE FROM COMMERCIAL PLANNING
Construction scheduling,Project management,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Project management,REMOVE FROM COMMERCIAL PLANNING
Progress tracking & reporting,Project management,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Project management,REMOVE FROM COMMERCIAL PLANNING
Contractor coordination,Project management,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Project management,RETAIN — pending owner confirmation
Construction documentation,Project management,"Buildogram-managed service (asserted, unconfirmed)",YES — /property-passport,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Project management,RETAIN — pending owner confirmation
Property Passport,Project management,"Buildogram-managed service (asserted, unconfirmed)",YES — /property-passport,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Project management,RETAIN — pending owner confirmation
Structural audit,Structural engineering & diagnostics,Unsupported until owner confirms delivery model,YES — /structural-audit-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Building structural audit,Structural engineering & diagnostics,Unsupported until owner confirms delivery model,YES — /building-structural-audit-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Residential structural audit,Structural engineering & diagnostics,Unsupported until owner confirms delivery model,YES — /residential-structural-audit-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Commercial structural audit,Structural engineering & diagnostics,Unsupported until owner confirms delivery model,YES — /commercial-structural-audit-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Apartment structural audit,Structural engineering & diagnostics,Unsupported until owner confirms delivery model,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Article/FAQ only,PENDING — evidence + SERP required,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Old building structural audit,Structural engineering & diagnostics,Unsupported until owner confirms delivery model,YES — /old-building-structural-audit-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Industrial structural audit,Structural engineering & diagnostics,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Building stability assessment,Structural engineering & diagnostics,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Stability certificate coordination,Structural engineering & diagnostics,Partner-coordinated service,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Structural engineering & diagnostics,RETAIN — pending owner confirmation
Crack inspection,Structural engineering & diagnostics,Unsupported until owner confirms delivery model,YES — /building-crack-inspection-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Water leakage / seepage inspection,Structural engineering & diagnostics,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Foundation settlement inspection,Structural engineering & diagnostics,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Pre-purchase building inspection,Structural engineering & diagnostics,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Home / property inspection,Structural engineering & diagnostics,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
NDT testing coordination,Structural engineering & diagnostics,Partner-coordinated service,YES — /ndt-testing-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Structural engineering & diagnostics,RETAIN — pending owner confirmation
Rebound hammer test,Structural engineering & diagnostics,Unsupported until owner confirms delivery model,YES — /rebound-hammer-test-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
UPV test,Structural engineering & diagnostics,Unsupported until owner confirms delivery model,YES — /upv-test-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Rebar scanning / cover meter,Structural engineering & diagnostics,Unsupported until owner confirms delivery model,YES — /rebar-scanning-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Concrete core test,Structural engineering & diagnostics,Unsupported until owner confirms delivery model,YES — /core-test-concrete-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Structural engineering & diagnostics,REMOVE FROM COMMERCIAL PLANNING
Structural repair guidance,Structural engineering & diagnostics,Informational subject,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,PENDING — evidence + SERP required,Structural engineering & diagnostics,RETAIN — pending owner confirmation
Retrofitting guidance,Structural engineering & diagnostics,Informational subject,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — credentials + lab arrangements,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,PENDING — evidence + SERP required,Structural engineering & diagnostics,RETAIN — pending owner confirmation
