# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# OV02 CONFIRMED 2026-07-25: quotation collector + sourcing coordinator + procurement consultant + supplier referral network + supplier directory + price-information publisher (restricted). NOT selected: direct seller, logistics coordinator.
segment,parent_category,subcategory,material,grade_spec_examples,unit,user_problem,audience,project_stage,current_domain_owner,existing_url,existing_repo_source,delivery_model,evidence_status,commercial_relevance,search_intent_families,local_applicability,owner_confirmation_required,research_priority
Construction materials,Structural materials,Primary,AAC blocks,"Grade 1/2, 600x200x100–230",m³ / nos,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/bricks-aac-blocks,app route,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P1
Construction materials,Structural materials,Primary,Solid / hollow blocks,Concrete blocks,nos,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,Finishing materials,Finishes,Vitrified tiles,"600x600, 800x800, GVT/PGVT",sqft / box,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/tiles,legacy route,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P2
Construction materials,Finishing materials,Finishes,Ceramic tiles,Wall/floor grades,sqft,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/tiles,legacy route,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,Finishing materials,Finishes,Granite,Slab thickness / origin,sqft,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,Finishing materials,Finishes,Marble,Slab grade,sqft,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,Finishing materials,Finishes,Interior paint,"Emulsion, distemper",litre,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,Finishing materials,Finishes,Exterior paint,Weatherproof emulsion,litre,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,Finishing materials,Finishes,Putty & primer,"Wall putty, primer",kg / litre,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,Finishing materials,Finishes,Waterproofing materials,"Membrane, crystalline, coatings",kg / roll,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/waterproofing,app route,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P2
Construction materials,Finishing materials,Finishes,Construction chemicals,"Admixtures, bonding agents",kg / litre,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,Finishing materials,Finishes,"Adhesives, grout, sealants","Tile adhesive, epoxy grout",kg,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,Finishing materials,Finishes,Finishing materials (category),Mixed,various,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/finishing-materials,app route,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,"Plumbing, sanitary & electrical",MEP,PVC / CPVC / UPVC pipes,Schedule / SDR classes,metre,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/plumbing,app route,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P2
Construction materials,"Plumbing, sanitary & electrical",MEP,Sanitaryware,"WC, basin, brands",nos,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,"Plumbing, sanitary & electrical",MEP,Bathroom fittings & faucets,CP fittings,nos,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,"Plumbing, sanitary & electrical",MEP,Water tanks,Capacity / layers,nos,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,"Plumbing, sanitary & electrical",MEP,Electrical wires & cables,"1.0–6.0 sqmm, FR/FRLS",coil / metre,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/electrical,app route,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P2
Construction materials,"Plumbing, sanitary & electrical",MEP,Switches & modular plates,Brand ranges,nos,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,"Plumbing, sanitary & electrical",MEP,Distribution boards / MCB,Rating,nos,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,"Plumbing, sanitary & electrical",MEP,Conduits & accessories,PVC conduit,metre,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,"Plumbing, sanitary & electrical",MEP,Lighting,LED fixtures,nos,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,"Plumbing, sanitary & electrical",MEP,Electrical & plumbing (legacy category),Mixed,various,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/electrical-plumbing,legacy route (merge candidate),"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,"Fabrication, roofing & specialist",Specialist,MS / GI pipes,"Nominal bore, class",metre / kg,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,"Fabrication, roofing & specialist",Specialist,Square & rectangular tubes,Section sizes,kg,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,"Fabrication, roofing & specialist",Specialist,Roofing sheets,"GI, colour-coated, profile",sqft / sheet,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,"Fabrication, roofing & specialist",Specialist,PEB materials,Primary/secondary members,MT,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,"Fabrication, roofing & specialist",Specialist,Polycarbonate sheets,Multiwall / solid,sqft,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,"Fabrication, roofing & specialist",Specialist,Aluminium sections,Series / anodised,kg,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
Construction materials,"Fabrication, roofing & specialist",Specialist,UPVC profiles,Window/door systems,metre,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,none,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P4
