# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# HARD GATES ENFORCED: no commercial priority without business capability; no locality priority without operating relevance; no supplier priority without materials-model compatibility; no new-page priority without format evidence; no 80+ score without observed search evidence. RESULT: 0 PROVEN, 0 STRONGLY EVIDENCED, 0 VALIDATED opportunities.
# OV02 CONFIRMED 2026-07-25: quotation collector + sourcing coordinator + procurement consultant + supplier referral network + supplier directory + price-information publisher (restricted). NOT selected: direct seller, logistics coordinator.
cluster,domain_owner,classification,search_evidence,conversion_evidence,existing_url,recommended_content_format,business_capability_status,cannibalisation_risk,local_relevance,ai_answer_opportunity,required_proof,provisional_action,hard_gate_failed
Soil testing / investigation,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/soil-investigation-chennai,Existing pages require consolidation,UNCONFIRMED — see 53-buildogram-capability-ledger,MEDIUM — vocabulary variants,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Lab arrangement,HOLD — no action authorised,No observed search evidence
Survey cluster,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,6 method pages,Existing page fully satisfies intent (hub) — children pending SERP,UNCONFIRMED — see 53-buildogram-capability-ledger,MEDIUM,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Equipment/operator evidence,HOLD — no action authorised,No observed search evidence
Piling cluster,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,5 method + 3 test pages,Existing page fully satisfies intent (hub),UNCONFIRMED — see 53-buildogram-capability-ledger,LOW — methods genuinely distinct,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Delivery model,HOLD — no action authorised,No observed search evidence
NDT cluster,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,4 test pages,Existing page fully satisfies intent (hub),UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Lab arrangement,HOLD — no action authorised,No observed search evidence
Renovation,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/build/renovation; /services/renovation-construction,Existing pages require consolidation,UNCONFIRMED — see 53-buildogram-capability-ledger,MEDIUM,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Delivery model,HOLD — no action authorised,No observed search evidence
Interiors,Buildogram (directory) ,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,none,Professional profile / directory sufficient,UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Service existence,HOLD — no action authorised,No observed search evidence
Steel / PEB / industrial,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/peb-…; /industrial-shed-…; 3 URLs now 301,Existing page requires improvement,UNCONFIRMED — see 53-buildogram-capability-ledger,MEDIUM,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Delivery model,HOLD — no action authorised,No observed search evidence
Materials category,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,"legacy duplicates: bricks, sand, steel, electrical-plumbing",Existing pages require consolidation (legacy vs enriched),MATERIALS MODEL CONFIRMED (OV02) — commercial targeting permitted for quotation/sourcing/directory; direct-seller and logistics terms remain blocked,HIGH — 4 legacy duplicates,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Dated price methodology + GST + delivery,HOLD — no action authorised,No observed search evidence
Material price queries,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,scattered FAQ mentions (now neutralised),New dataset required — cost monitor (NOT an index),MATERIALS MODEL CONFIRMED (OV02) — commercial targeting permitted for quotation/sourcing/directory; direct-seller and logistics terms remain blocked,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Collection method + sample + dates,HOLD — no action authorised,No observed search evidence; No format evidence (SERP not captured)
Professional directories,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,category pages,Existing page requires improvement,UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Published listing criteria,HOLD — no action authorised,No observed search evidence
Approvals & regulation,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,scattered mentions in locality pages,New guide required — approvals tracker,UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Official source citations,HOLD — no action authorised,No observed search evidence; No format evidence (SERP not captured)
Calculators & tools,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,10 AI tool pages + /boq-calculator + /cost-estimator,Existing page fully satisfies intent,UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Output accuracy disclosure,HOLD — no action authorised,No observed search evidence
Property rent discovery,Tolet Board Chennai,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,Buildogram must NOT host,Property locality hub required — inventory-gated,UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Verified availability + timestamps,HOLD — no action authorised,No observed search evidence
Property sale discovery,Realprop Realty,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,Buildogram must NOT host,Property locality hub required — inventory-gated,UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Verified availability + timestamps,HOLD — no action authorised,No observed search evidence
360 tour discovery,Split: portals own tours; Buildogram owns overview/standard,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,none,New comparison/standard required (Buildogram) + portal tour pages,UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Tour production model,HOLD — no action authorised,No observed search evidence; No format evidence (SERP not captured)
Property lifecycle bridge,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/property-passport partially,New commercial page required — property ecosystem hub,UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Service existence,HOLD — no action authorised,No observed search evidence; No format evidence (SERP not captured)
Locality construction intent,Buildogram,ADDITIONAL DATA REQUIRED,NONE — GSC not connected,NONE — GA4 not connected,28 area pages + up to 616 area×service,Locality hub potentially required — DO NOT auto-generate,UNCONFIRMED — see 53-buildogram-capability-ledger,VERY HIGH — 616 potential pages,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Local evidence per locality,HOLD — no action authorised,No observed search evidence; No operating relevance confirmed
Locality property intent,Portals,ADDITIONAL DATA REQUIRED,NONE — GSC not connected,NONE — GA4 not connected,portal list filters,Property locality hub — inventory-gated,UNCONFIRMED — see 53-buildogram-capability-ledger,HIGH,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Real inventory,HOLD — no action authorised,No observed search evidence; No operating relevance confirmed
Tamil / Tanglish queries,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,none,No new content required yet — natural phrasing in English pages,UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Fluent technical reviewer,HOLD — no action authorised,No observed search evidence
Question / voice queries,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/faqs/*; /guides/*,Existing page requires improvement — FAQ/guide sections,UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Expert review + sources,HOLD — no action authorised,No observed search evidence
