"File","Line","Column","Severity","Rule","Message","Route or component","Public or private","Introduced by current feature branch","Pre-existing","Proposed fix","Behavioural risk","Batch","Status"
"src/app/ai-floor-plan-creator/components/ProjectSetupForm.js","62","5","error","react-compiler","Error: Calling setState synchronously within an effect can trigger cascading renders","src/app/ai-floor-plan-creator/components/ProjectSetupForm.js","Public","No","Yes","Inspect component; refactor compiler/parser violation without suppression","High","1","Open"
"src/app/ai-material-estimator/page.js","482","27","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/ai-material-estimator","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/ai-pile-foundation-boq-checker/page.js","11","226","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/ai-pile-foundation-boq-checker","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/ai-pile-foundation-boq-checker/page.js","11","226","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/ai-pile-foundation-boq-checker","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/ai-pile-foundation-boq-checker/page.js","11","278","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/ai-tools/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/ai-pile-foundation-boq-checker","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/ai-property-passport-assistant/page.js","11","226","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/ai-property-passport-assistant","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/ai-property-passport-assistant/page.js","11","226","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/ai-property-passport-assistant","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/ai-property-passport-assistant/page.js","11","278","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/ai-tools/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/ai-property-passport-assistant","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/ai-soil-test-requirement-builder/page.js","11","226","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/ai-soil-test-requirement-builder","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/ai-soil-test-requirement-builder/page.js","11","226","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/ai-soil-test-requirement-builder","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/ai-soil-test-requirement-builder/page.js","11","278","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/ai-tools/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/ai-soil-test-requirement-builder","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/ai-structural-audit-intake/page.js","355","144","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/ai-structural-audit-intake","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/ai-structural-audit-intake/page.js","357","25","error","react/no-unescaped-entities","`""` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`","/ai-structural-audit-intake","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/ai-structural-audit-intake/page.js","357","38","error","react/no-unescaped-entities","`""` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`","/ai-structural-audit-intake","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-audit/BOQAuditForm.js","66","88","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","src/app/boq-audit/BOQAuditForm.js","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-audit/page.js","70","122","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-audit","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-audit/page.js","70","146","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-audit","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-audit/page.js","70","163","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-audit","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-audit/page.js","70","183","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-audit","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-audit/page.js","130","66","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-audit","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-calculator/page.js","87","21","error","react-compiler","Error: Calling setState synchronously within an effect can trigger cascading renders","/boq-calculator","Public","Yes","No","Inspect component; refactor compiler/parser violation without suppression","High","1","Open"
"src/app/boq-calculator/page.js","139","5","error","react-compiler","Error: Calling setState synchronously within an effect can trigger cascading renders","/boq-calculator","Public","Yes","No","Inspect component; refactor compiler/parser violation without suppression","High","1","Open"
"src/app/boq-calculator/page.js","917","78","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-calculator","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-review-chennai/page.js","64","16","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-review-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-review-chennai/page.js","67","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contact/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/boq-review-chennai","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/boq-review-chennai/page.js","68","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contractor-quote-review-chennai/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/boq-review-chennai","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/boq-review-chennai/page.js","95","58","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-review-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-review-chennai/page.js","95","126","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-review-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-review-chennai/page.js","95","183","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-review-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-review-chennai/page.js","95","229","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-review-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-review-chennai/page.js","211","102","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-review-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-review-chennai/page.js","212","139","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-review-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-review-chennai/page.js","212","152","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/boq-review-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/boq-review-chennai/page.js","213","11","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contact/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/boq-review-chennai","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/build/page.js","124","108","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/build","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/client/dashboard/page.js","97","52","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/client/dashboard","Private","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/client/invoices/[id]/page.js","20","32","warning","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'load'. Either include it or remove the dependency array","/client/invoices/[id]","Private","No","Yes","Classify effect and stabilise dependencies/cleanup without request loops","High","4","Open"
"src/app/client/maintenance/page.js","56","76","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/client/maintenance","Private","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/client/projects/page.js","95","11","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contact/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/client/projects","Private","No","Yes","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/construction-in-chennai/page.js","64","20","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/construction-in-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/contact/page.js","42","7","error","react-compiler","Error: Calling setState synchronously within an effect can trigger cascading renders","/contact","Public","Yes","No","Inspect component; refactor compiler/parser violation without suppression","High","1","Open"
"src/app/end-to-end-construction-support-chennai/page.js","68","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contact/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/end-to-end-construction-support-chennai","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/end-to-end-construction-support-chennai/page.js","69","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/quality-system/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/end-to-end-construction-support-chennai","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/end-to-end-construction-support-chennai/page.js","99","23","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/end-to-end-construction-support-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/end-to-end-construction-support-chennai/page.js","156","60","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/end-to-end-construction-support-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/end-to-end-construction-support-chennai/page.js","196","51","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/end-to-end-construction-support-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/end-to-end-construction-support-chennai/page.js","196","116","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/end-to-end-construction-support-chennai","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/end-to-end-construction-support-chennai/page.js","198","11","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contact/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/end-to-end-construction-support-chennai","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/faqs/[category]/page.js","33","3","error","react-compiler","Error: This value cannot be modified","/faqs/[category]","Public","Yes","No","Inspect component; refactor compiler/parser violation without suppression","High","1","Open"
"src/app/how-it-works/HowItWorksClient.jsx","101","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contact/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","src/app/how-it-works/HowItWorksClient.jsx","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/how-it-works/HowItWorksClient.jsx","102","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/specifications/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","src/app/how-it-works/HowItWorksClient.jsx","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/industrial-shed-construction-chennai/page.js","63","97","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/industrial-shed-construction-chennai","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/industrial-shed-construction-chennai/page.js","66","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contact/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/industrial-shed-construction-chennai","Public","No","Yes","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/industrial-shed-construction-chennai/page.js","67","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/peb-building-contractors-chennai/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/industrial-shed-construction-chennai","Public","No","Yes","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/industrial-shed-construction-chennai/page.js","156","165","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/industrial-shed-construction-chennai","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/industrial-shed-construction-chennai/page.js","157","11","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contact/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/industrial-shed-construction-chennai","Public","No","Yes","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/[service]/page.js","66","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]/[service]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/[service]/page.js","66","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]/[service]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/[service]/page.js","67","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/locations/chennai/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]/[service]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/[service]/page.js","67","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/locations/chennai/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]/[service]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/[service]/page.js","67","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/locations/chennai/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]/[service]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/[service]/page.js","230","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contact/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]/[service]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/page.js","70","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/page.js","70","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/page.js","71","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/locations/chennai/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/page.js","71","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/locations/chennai/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/page.js","71","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/locations/chennai/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/chennai/[area]/page.js","274","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contact/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/locations/chennai/[area]","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/locations/page.js","144","107","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/locations","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/maintenance/page.js","113","107","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/maintenance","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/materials/bricks-aac-blocks/page.js","72","21","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/materials/bricks-aac-blocks","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/materials/bricks-aac-blocks/page.js","72","33","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/materials/bricks-aac-blocks","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/materials/electrical/page.js","48","14","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/materials/electrical","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/materials/electrical/page.js","48","225","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/materials/electrical","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/materials/electrical/page.js","72","126","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/materials/electrical","Public","No","Yes","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/materials/finishing-materials/page.js","10","226","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/materials/finishing-materials","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/materials/finishing-materials/page.js","10","226","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/materials/finishing-materials","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/materials/finishing-materials/page.js","10","278","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/materials/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/materials/finishing-materials","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/materials/finishing-materials/page.js","10","278","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/materials/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/materials/finishing-materials","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/materials/page.js","149","142","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/materials","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/materials/piling-foundation-materials/page.js","10","226","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/materials/piling-foundation-materials","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/materials/piling-foundation-materials/page.js","10","226","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/materials/piling-foundation-materials","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/materials/piling-foundation-materials/page.js","10","278","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/materials/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/materials/piling-foundation-materials","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/materials/piling-foundation-materials/page.js","10","278","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/materials/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/materials/piling-foundation-materials","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/materials/plumbing/page.js","48","52","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/materials/plumbing","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/materials/rmc/page.js","72","191","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/materials/rmc","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
"src/app/materials/rmc/page.js","72","202","error","react/no-unescaped-entities","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`","/materials/rmc","Public","Yes","No","Use typographic punctuation, entity, or string expression without changing copy","Low","3","Open"
