URL,claim,standard,standard edition,source,reviewer,review date,status,risk,required action
/ai-property-passport-assistant/PropertyPassportClient.jsx,"warnings.push(""For completed properties, it is very hard to verify what is inside the walls or under the ground without Non-Destructive Testing (NDT)."");",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-structural-audit-intake,"q: 'Is the audit report accepted for CMDA regularization?',",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-structural-audit-intake,"title: 'AI Structural Audit Intake | Prepare Your Building Audit Brief | Buildogram',",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-structural-audit-intake,"brief: 'Recommend: Visual inspection + Rebound Hammer Test on beams/columns + UPV Test on slab + Carbonation Depth Test',",UPV,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-structural-audit-intake,"brief: 'Recommend: Visual inspection + Rebound Hammer Test on beams/columns + UPV Test on slab + Carbonation Depth Test',",rebound hammer,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-structural-audit-intake/StructuralAuditClient.jsx,"title=""AI Structural Audit Intake""",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-structural-audit-intake/StructuralAuditClient.jsx,"infoNote: ""This initial assessment helps our structural engineers prepare the right diagnostic tools (e.g., rebound hammer, rebar locator) for your site visit.""",rebound hammer,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-survey-requirement-builder,"q: 'Do I need a survey before applying for CMDA plan approval?',",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-survey-requirement-builder,"'Answer 5 questions and our AI tells you exactly which land survey you need for your Chennai plot — DGPS, Drone, Topographic or Layout Marking. Updated July 2026.',",DGPS,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-survey-requirement-builder/SurveyRequirementClient.jsx,"if (formData.purpose === 'cmda_approval') {",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-survey-requirement-builder/SurveyRequirementClient.jsx,"<option value=""cmda_approval"">CMDA / DTCP Building Approval</option>",DTCP,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-survey-requirement-builder/SurveyRequirementClient.jsx,"requiredSurvey = ""DGPS + Total Station Survey"";",DGPS,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-tools,"tags: ['85+ Materials', 'IS Code Based', 'Procurement Ready'],",IS code,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-tools,"tags: ['320+ Audits', 'Licensed Engineers', 'CMDA Compliant'],",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-tools,"title: 'AI Structural Audit Intake',",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-tools,"desc: 'Not sure which survey you need — DGPS, Drone, or Topographic? Answer 5 questions and get an exact survey scope with deliverables list.',",DGPS,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/api/ai/boq-draft/route.js,"missingItems.push('Soil testing & structural design fees explicitly mentioned');",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/api/boq-calculator/demo/route.js,"upvcWindowsSqft:     0,           // auto from brickwork windows",UPV,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/api/leads/route.js,"survey_type: leadType === 'soil' ? 'Soil Testing' : body.formData?.surveyType,",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/api/ops/seed-partners/route.js,"certifications: ['BIS Certified IS 14665', 'CMDA Approved'],",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/api/ops/seo/rankings/route.js,"'soil testing chennai',",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/api/ops/seo/rankings/route.js,"'structural audit chennai',",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/blog,"tags: ['Structural Audit', 'Safety', 'NDT'],",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/blog,"description: 'Expert articles on home construction, BOQ, material quality, structural audits and property investment in Chennai — written by Buildogram structural engineers.',",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/boq-calculator,"[`Grand Total (${result.mode === 'excel' ? 'Excel' : 'Turnkey'})`, fc(result.grandTotal || result.buildingEstimate), 'linear-gradient(135deg,#FFB347,#FC6E20)', 'white'],",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/boq-calculator,"const [premiumItems, setPremiumItems] = useState({ compoundWallLength: '', numBathrooms: 3, electricalPoints: '', numOHTanks: 1, borewellDepth: '', kitchenPlatformRM: '', bbsSteelOverride: '', upvcWindowsSqft: '', contingencyPct: 5, prelimsPct: 3 });",UPV,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/build/commercial,"description: ""Professional commercial services via Buildogram, the AI-driven, engineer-led construction and property ecosystem. We handle BOQ review, structural audit, survey, testing, and piling."",",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/build/home-construction,"description: ""Professional home construction services via Buildogram, the AI-driven, engineer-led construction and property ecosystem. We handle BOQ review, structural audit, survey, testing, and piling."",",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/build/renovation,"description: ""Professional renovation services via Buildogram, the AI-driven, engineer-led construction and property ecosystem. We handle BOQ review, structural audit, survey, testing, and piling."",",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/build/villa-construction,"description: ""Professional villa construction services via Buildogram, the AI-driven, engineer-led construction and property ecosystem. We handle BOQ review, structural audit, survey, testing, and piling."",",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/build/warranty,"description: ""Professional warranty services via Buildogram, the AI-driven, engineer-led construction and property ecosystem. We handle BOQ review, structural audit, survey, testing, and piling."",",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/case-studies,"description: 'Real-world results from Buildogram projects — BOQ reviews that saved lakhs, structural audits, NRI-managed builds, and material fraud prevention.',",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/case-studies,"outcome: 'UPV testing revealed 40% concrete strength loss in 2 columns. Jacketing performed instead of rebuild.',",UPV,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/construction-in-chennai,"description: ""Expert construction in chennai in Chennai. Trust Buildogram, an AI-driven, engineer-led construction and property ecosystem for structural audit, survey, testing, piling, and Property Passport solutions."",",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/construction-in-chennai,"description: 'Expert construction support across Chennai. CMDA approvals, soil testing, BOQ reviews, material sourcing and site supervision — guided by structural engineers.',",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/construction-in-chennai,"{ icon: '🔍', name: 'Structural Audit', desc: 'NDT testing, crack assessment, load capacity evaluation', link: '/structural-audit-chennai' },",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/construction-in-chennai,"description: 'Expert construction support across Chennai. CMDA approvals, soil testing, BOQ reviews, material sourcing and site supervision — guided by structural engineers.',",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/construction-in-chennai,"{ icon: '🔍', name: 'Structural Audit', desc: 'NDT testing, crack assessment, load capacity evaluation', link: '/structural-audit-chennai' },",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/contact,"{ value: 'soil', label: 'Soil Testing' },",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/contact,"{ value: 'audit', label: 'Building Structural Audit' },",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/cost-estimator,"description: ""Comprehensive cost estimator services. Buildogram is an AI-driven, engineer-led construction and property ecosystem offering BOQ review, structural audit, survey, testing, and piling."",",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/end-to-end-construction-support-chennai,"{ num: '01', title: 'Pre-Construction', desc: 'Soil SBC test coordination, CMDA/DTCP approval guidance, architectural design brief, site measurement.' },",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/end-to-end-construction-support-chennai,"{ num: '01', title: 'Pre-Construction', desc: 'Soil SBC test coordination, CMDA/DTCP approval guidance, architectural design brief, site measurement.' },",DTCP,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/end-to-end-construction-support-chennai,"export default function EndToEndConstructionPage() {",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/faqs,"description: 'Answers from structural engineers on home construction costs, BOQ audits, contractor selection, soil testing, structural audits, Property Passport, and more — specific to Chennai.',",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/faqs,"description: 'Answers from structural engineers on home construction costs, BOQ audits, contractor selection, soil testing, structural audits, Property Passport, and more — specific to Chennai.',",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/Footer.js,"['NDT Testing', '/ndt-testing-chennai'],",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/Footer.js,"['Soil Testing', '/soil-testing-chennai'],",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/Footer.js,"['Building Structural Audit', '/structural-audit-chennai'],",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/guides,"description: 'Expert guides for homeowners: BOQ review, construction cost estimation, contractor selection, structural plan review, soil testing, Property Passport and property maintenance — by Buildogram engineers.',",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/how-it-works/HowItWorksClient.jsx,"desc: 'Our design team maps your vision to CMDA/DTCP norms, providing customized 2D layout plans and photorealistic 3D elevations. We configure layouts for natural ventilation, coastal sun heat deflection, and Vaastu.'",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/how-it-works/HowItWorksClient.jsx,"desc: 'Our design team maps your vision to CMDA/DTCP norms, providing customized 2D layout plans and photorealistic 3D elevations. We configure layouts for natural ventilation, coastal sun heat deflection, and Vaastu.'",DTCP,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/how-it-works/HowItWorksClient.jsx,"name: 'Plot Audit & Soil Testing',",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/how-it-works,"description: ""Comprehensive how it works services. Buildogram is an AI-driven, engineer-led construction and property ecosystem offering BOQ review, structural audit, survey, testing, and piling."",",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/industrial-shed-construction-chennai,"{ question: 'What permits do I need for an industrial shed in SIDCO or SIPCOT Chennai?', answer: 'SIDCO plots: prior approval from SIDCO estate office + CMDA/DTCP building plan approval + fire NOC from Tamil Nadu Fire and Rescue Services (for buildings above 500 sqm built-up) + Factories Inspector registration (for manufacturing activity).' },",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/industrial-shed-construction-chennai,"{ question: 'What permits do I need for an industrial shed in SIDCO or SIPCOT Chennai?', answer: 'SIDCO plots: prior approval from SIDCO estate office + CMDA/DTCP building plan approval + fire NOC from Tamil Nadu Fire and Rescue Services (for buildings above 500 sqm built-up) + Factories Inspector registration (for manufacturing activity).' },",DTCP,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/industrial-shed-construction-chennai,"{[['/steel-construction-chennai', 'Steel Construction'], ['/peb-building-contractors-chennai', 'PEB Buildings'], ['/pile-foundation-contractors-chennai', 'Pile Foundation'], ['/structural-audit-chennai', 'Structural Audit']].map(([href, label]) => (",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/join-as-partner,"{ question: 'Who can join the Buildogram Partner Ecosystem?', answer: 'We welcome Builders, Contractors, Architects, Structural Engineers, Surveyors, Soil/NDT Labs, Piling Contractors, Material Suppliers, Fabricators, Interior Designers, and more.' },",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/,"description: 'Engineer-led construction intelligence, quality verification and permanent property documentation for Chennai homeowners. Independent BOQ review, structural audits, site supervision and partner coordination.',",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/locations/chennai,"<p style={{ fontSize: '14px', color: '#64748B', lineHeight: 1.5, margin: 0 }}>NDT testing and crack inspections for buildings.</p>",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/locations/chennai,"description: 'Buildogram provides engineer-led construction support across Chennai — BOQ review, structural audits, soil testing, site supervision, and material sourcing. Serving 28 localities.',",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/locations/chennai,"title: 'Construction Services in Chennai | BOQ, Structural Audit, Supervision | Buildogram',",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/locations,"{ name: 'OMR (Old Mahabalipuram Road)', slug: 'omr', note: 'Sandy loam soil, IT corridor boom zone, CMDA regulated' },",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/locations,"{ name: 'ECR (East Coast Road)', slug: 'ecr', note: 'Sandy coastal soil, DTCP zones, sea breeze corrosion risk' },",DTCP,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/locations,"['Soil Testing', '/soil-testing-chennai'],",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/locations,"description: 'Buildogram delivers engineer-led home construction, structural audits, land surveys, and material sourcing across all major Chennai localities — OMR, ECR, Anna Nagar, Velachery, Tambaram, Porur, and more.',",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/maintenance/request,"description: ""Comprehensive request services. Buildogram is an AI-driven, engineer-led construction and property ecosystem offering BOQ review, structural audit, survey, testing, and piling."",",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/materials/electrical-plumbing,"heroSub=""FRLS Wires, CPVC/UPVC Pipes, and Switchgear.""",UPV,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/materials/fabrication-steel,"{ question: 'What does ""IS 2062"" mean?', answer: 'IS 2062 is the Indian Standard for general structural steel. It ensures the steel has a minimum yield stress (usually 250 MPa). If you buy cheaper, non-standard steel, it might snap instead of bending under heavy wind or crane loads.' },",Indian Standard,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/materials/finishing-materials,"const FAQS = [{ question: 'How do I get a material quote?', answer: 'Visit our Request Material Quote page or contact Buildogram with your material requirement, quantity, and delivery location. We will share competitive quotes from verified suppliers.' }, { question: 'Are the materials IS-certified?', answer: 'Yes. All materials in the Buildogram supplier network are expected to meet relevant IS (Indian Standard) specifications. Material Test Certificates (MTC) are available on request.' }, { question: 'Can I get materials delivered to my site?', answer: 'Yes. Our verified suppliers offer site delivery across Chennai. Delivery timelines and minimum order quantities vary by supplier and material type.' }, { question: 'Can I compare rates from multiple suppliers?', answer: 'Yes. Buildogram provides a comparative quote view for key materials so you can make informed decisions on brand and supplier selection.' }];",Indian Standard,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/materials/finishing-materials,"export default function Page() { return ( <><main className='page' style={{ paddingTop: '80px', paddingBottom: '80px' }}><div className='sectionInner'><div style={{ marginBottom: '16px', fontSize: '14px', color: '#64748B' }}><a href='/' style={{ color: '#FC6E20' }}>Home</a> / <a href='/materials' style={{ color: '#FC6E20' }}>Shop Materials</a> / <span style={{ color: '#0F172A', fontWeight: 600 }}>Finishing Materials in Chennai</span></div><h1 style={{ fontSize: '36px', fontWeight: 800, color: '#0F172A', marginBottom: '24px' }}>Finishing Materials in Chennai</h1><AnswerBlock question='What finishing materials are typically required for a residential project?' answer='Residential finishing materials include wall and floor tiles, granite or marble, paints (interior and exterior), wood or UPVC doors and windows, hardware fittings, sanitary ware, lighting fixtures, false ceiling materials, and waterproofing coatings — each specified by brand, grade, and IS standard.' /><div style={{ background: '#F8FAFC', borderRadius: '16px', padding: '32px', margin: '40px 0' }}><h2 style={{ fontSize: '20px', fontWeight: 800, color: '#0F172A', marginBottom: '16px' }}>Why Source Through Buildogram?</h2><ul style={{ listStyle: 'none', padding: 0, display: 'grid', gridTemplateColumns: 'repeat(auto-fill, minmax(240px, 1fr))', gap: '12px' }}>{['Verified supplier network','IS-standard specifications','Transparent rate comparison','Material Test Certificates on request','Site delivery across Chennai','No hidden charges'].map(d => (<li key={d} style={{ display: 'flex', alignItems: 'center', gap: '8px', fontSize: '15px', color: '#374151' }}><span style={{ color: '#10B981', fontWeight: 700 }}>✓</span> {d}</li>))}</ul></div><EntitySummary serviceName='Finishing Materials in Chennai' /><LocalIntentBlock /><FAQBlock title='Frequently Asked Questions' faqs={FAQS} /><div style={{ marginTop: '40px', padding: '24px', background: '#FFF7ED', borderRadius: '12px', border: '1px solid #FED7AA' }}><p style={{ fontWeight: 700, color: '#FC6E20', marginBottom: '12px' }}>Explore More Materials</p><div style={{ display: 'flex', flexWrap: 'wrap', gap: '10px' }}>{[['All Materials','/materials'],['Cement','/materials/cement'],['TMT Steel','/materials/tmt-steel'],['Ready Mix Concrete','/materials/ready-mix-concrete'],['Waterproofing','/materials/waterproofing']].map(([label, href]) => (<Link key={href} href={href} style={{ padding: '8px 16px', background: 'white', border: '1px solid #FED7AA', borderRadius: '100px', color: '#374151', fontSize: '14px', fontWeight: 600, textDecoration: 'none' }}>{label}</Link>))}</div></div><div style={{ marginTop: '32px', textAlign: 'center' }}><Link href='/material-quotes' className='btn btn-primary btn-lg'>Request Material Quote</Link></div></div></main>  <BreadcrumbSchema items={[{""name"":""Home"",""path"":""/""},{""name"":""Materials"",""path"":""/materials""},{""name"":""Finishing Materials Chennai"",""path"":""/materials/finishing-materials""}]} />",UPV,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/materials/msand-psand,"{ title: '1. Silt Content Testing', desc: 'Silt makes concrete weak. We conduct on-site jar tests to ensure the silt content in the M-Sand is strictly below the IS Code permissible limit of 3%.' },",IS code,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/materials,"{ icon: '🔧', name: 'Plumbing Materials', desc: 'CPVC, uPVC, PPR pipes and fittings. ISI-marked sanitary ware and faucets.', link: '/materials/plumbing', brands: 'Ashirvad · Supreme · Jaquar' },",UPV,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/materials/piling-foundation-materials,"const FAQS = [{ question: 'How do I get a material quote?', answer: 'Visit our Request Material Quote page or contact Buildogram with your material requirement, quantity, and delivery location. We will share competitive quotes from verified suppliers.' }, { question: 'Are the materials IS-certified?', answer: 'Yes. All materials in the Buildogram supplier network are expected to meet relevant IS (Indian Standard) specifications. Material Test Certificates (MTC) are available on request.' }, { question: 'Can I get materials delivered to my site?', answer: 'Yes. Our verified suppliers offer site delivery across Chennai. Delivery timelines and minimum order quantities vary by supplier and material type.' }, { question: 'Can I compare rates from multiple suppliers?', answer: 'Yes. Buildogram provides a comparative quote view for key materials so you can make informed decisions on brand and supplier selection.' }];",Indian Standard,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/materials/plumbing,"title: 'Plumbing Materials & Pipes in Chennai | CPVC, UPVC, SWR',",UPV,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/Navbar.js,"{ href: '/ndt-testing-chennai', label: 'NDT Testing' },",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/Navbar.js,"label: 'Structural Auditing',",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/Navbar.js,"{ href: '/upv-test-chennai', label: 'Ultrasonic Pulse Velocity Test' },",UPV,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/Navbar.js,"{ href: '/rebound-hammer-test-chennai', label: 'Rebound Hammer Test' },",rebound hammer,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/Navbar.js,"{ href: '/dgps-survey-chennai', label: 'DGPS / RTK Survey' },",DGPS,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/boq-calculator/[id],"<p style={{ color: '#64748B', fontSize: 13, marginBottom: 14 }}>UPVC window area is auto-calculated from wall openings in the brickwork sections.</p>",UPV,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/bqs,"<option value=""structural_audit"">Structural Audit</option>",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/content-calendar/ContentCalendarClient.js,"<option value=""soil_testing"">Soil Testing</option>",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/content-calendar/ContentCalendarClient.js,"<option value=""structural_audit"">Structural Audit</option>",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/partner-applications,"'NDT Testing Lab': ['Test Methods Confirmed', 'Sample NDT Report', 'Equipment Calibration Logs'],",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/partner-applications,"'Soil Testing Lab': ['Lab Certifications', 'Sample Soil Report', 'Borehole Capacity'],",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/partner-applications,"'Surveyor': ['Equipment Capability (DGPS/Total Station)', 'Sample Survey Drawing', 'Turnaround Time Check'],",DGPS,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/proof-assets/editor,"<option value=""soil_testing"">Soil Testing</option>",soil testing,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/proof-assets/editor,"<option value=""structural_audit"">Structural Audit</option>",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/proof-assets/editor,"<textarea name=""methods_used"" value={formData.methods_used} onChange={handleChange} className=""form-control"" rows={3} style={{ width: '100%', padding: '8px' }} placeholder=""e.g. Total Station, Rebound Hammer"" />",rebound hammer,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/proof-assets/GbpGenerator.js,"structural_audit: ""Structural Audit Completed in {area}: Safety first. Our structural engineering team just finished an assessment in {area}. {description} Using advanced NDT methods like {methods_used}, we provided the owner with a detailed safety report. Worried about cracks or old building strength in Chennai? Book an engineer-led audit today."",",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/proof-assets/GbpGenerator.js,"structural_audit: ""Structural Audit Completed in {area}: Safety first. Our structural engineering team just finished an assessment in {area}. {description} Using advanced NDT methods like {methods_used}, we provided the owner with a detailed safety report. Worried about cracks or old building strength in Chennai? Book an engineer-led audit today."",",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ops/property-passports/[id],"<option value=""structural_audit"">Structural Audit</option>",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
